;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
QUALIFICAÇÃO;NOME;GRAU;DECRETO;PORTARIA;;;
SO QSS BET;ABCÉLVIO RODRIGUES;Cavaleiro;17/10/2002;;;;
Senhor;ABDALLA HANNA OBEID;Cavaleiro;;3.626/GM-MD;29/08/2019;;
Gen Ex;ABDIAS DA COSTA RAMOS;Grande-Oficial;23/09/1993;;;;
Gen Div;ABDON SENA;Grande-Oficial;29/09/1971;;;;
Maj Av;ABDON VARGAS SOTO;Oficial;13/03/1950;;;;
Suboficial STP R/1;ABEL CAMILO SOARES;Cavaleiro;20/09/2019;;;;
Senhor;ABEL DA COSTA VALE NETO;Cavaleiro;;2.753/MD;22/10/2014;;
Cel Ex;ABEL MACHADO;Oficial;25/09/1981;;;;
Senhor;ABEL PEREIRA LEITE;Cavaleiro;17/09/1980;;;;
Ten Cel Av;ABEL ROMERO;Oficial;30/10/1950;;;;
Sócio-Diretor (SABEL);ABEL SARMENTO DA ROCHA;Cavaleiro;;3.626/GM-MD;29/08/2019;;
1º Ten Av;ABELARDO DE ALMEIDA E ALBUQUERQUE;Cavaleiro;22/10/1948;;;;
General-de-Brigada;ABELARDO PRISCO DE SOUZA JÚNIOR;Comendador;06/09/2004;;;;
CMG;ABELARDO ROMANO MILANEZ;Oficial;17/10/1966;;;;
Superintendente da INFRAERO (RJ);ABIBE FERREIRA JUNIOR;Oficial;;2.818/MD;22/10/2012;;
Engenheiro;ABILIO AUGUSTO REAL BIATO;Cavaleiro;;2.267/MD;21/10/2015;;
Senhor;ABÍLIO JOSÉ MENDES GOMES;Cavaleiro;21/10/2011;;;;
Cel Eng;ABÍLIO NEVES GARCIA;Cavaleiro;13/10/2016;;;;
Senhor;ABÍLIO RIBEIRO DE OLIVEIRA;Oficial;20/09/2006;;;;
Doutor;ABNER BRÍGIDO COSTA;Grande-Oficial;17/09/1980;;;;
Coronel-de-Engenharia;ABNER GONÇALVES DE MAGALHÃES;Oficial;21/10/2011;;;;
Cel Av;ABNER MEDEIROS CORREIA;Oficial;26/09/2001;;;;
Comandante;ABRAHAM NAMIHAS MARIN;Oficial;17/10/1983;;;;
Astrónomo;ABRAHÃO DE MORAES;Grande-Oficial;07/10/1968;;;;
SO QSS BEV;ABRAHÃO NASCIMENTO DOS SANTOS;Cavaleiro;26/09/2001;;;;
Senhor;ABRAM SZAJMAN;Grande-Oficial;26/09/2000;;;;
Empresário;ACÁCIO ROSA DE QUEIROZ FILHO;Comendador;;3.346/MD;08/09/2017;;
Senhor;ACHILES HIPÓLYTO GARCIA;Comendador;13/10/1969;;;;
Gen Bda;ACHILLES FURLAN NETO;Comendador;20/10/2015;;;;
Gen Div (Med);ACHILLES PAULO GALLOTI;Grande-Oficial;17/10/1960;;;;
Senhor;ACIR LUIZ DE ALMEIDA PADILHA;Cavaleiro;25/09/1979;;;;
Senador da República;ACIR MARCOS GURGACZ;Grande-Oficial;20/10/2015;;;;
SO QSS SDE;ACÓLITO COSTA SILVA;Cavaleiro;01/09/1987;;;;
Gen Bda;ACRÍSIO FIGUEIRA;Comendador;20/09/1985;;;;
V Alte;ACYR DIAS DE CARVALHO ROCHA;Comendador;25/10/1966;;;;
Cel Int;ACYR MARTINS BARBOSA;Cavaleiro;05/09/1988;;;;
SO QSS SDE;ACYR PASSOS FILHO;Cavaleiro;13/10/2016;;;;
Engenheiro;ACYR PITANGA SEIXAS FILHO;Cavaleiro;16/09/1998;;;;
Senhora;ADA ROGATO;Comendador;01/10/1974;;;;
Ten Cel Esp Met;ADAHIL FRANCISCO GUSMÃO;Cavaleiro;01/10/2003;;;;
Cel Av;ADAIL COARACY DE AQUINO;Cavaleiro;25/09/1979;;;;
Cel Ex;ADAIL DE OLIVEIRA E CRUZ;Oficial;01/10/1975;;;;
Cel Av;ADAIR GERALDO RIBEIRO;Cavaleiro;15/09/1981;;;;
Senhor;ADALARDO PIERUCCETTI VELOSO;Oficial;20/09/1983;;;;
Cel Int;ADALBERTO ALVES PEDROZA;Oficial;19/10/2010;;;;
SO QSS BMB;ADALBERTO ANDRADE LEAL;Cavaleiro;11/09/1996;;;;
Doutor;ADALBERTO BARRETO;Grande-Oficial;16/10/1959;;;;
Gen Bda;ADALBERTO BUENO DA CRUZ;Comendador;16/09/1998;;;;
C Alte;ADALBERTO CASAES JÚNIOR;Oficial;26/09/2000;;;;
V Alte;ADALBERTO CORRÊA CAFÉ;Comendador;04/10/1973;;;;
Senador;ADALBERTO CORRÊA SENA;Comendador;12/10/1964;;;;
Alte Esq;ADALBERTO DE BARROS NUNES;Grande-Oficial;20/10/1967;;;;
Gen Bda;ADALBERTO DE MOURA CAMPOS;Comendador;01/09/1987;;;;
Maj Brig Ar Ref;ADALBERTO DE REZENDE ROCHA;Grande-Oficial;23/09/1997;;;;
CMG Ref;ADALBERTO DE SOUZA FILHO;Oficial;19/10/2010;;;;
Cel Av;ADALBERTO FONTOURA GOMES;Oficial;22/10/2014;;;;
Senhor;ADALBERTO GIMENEZ DE OLIVEIRA;Cavaleiro;09/10/1972;;;;
Gen Div;ADALBERTO IMBRÓSIO;Comendador;11/09/1996;;;;
Cel Inf;ADALBERTO PEREIRA DA SILVA LIMA;Cavaleiro;26/09/2001;;;;
Gen Ex;ADALBERTO PEREIRA DOS SANTOS;Grã-Cruz;01/10/1974;;;;
Cel Int;ADALBERTO TRAMUJAS;Oficial;19/10/1970;;;;
Brig Ar;ADALBERTO ZAVARONI;Comendador;21/10/2013;; ;;
Gen Div;ADALMIR MANOEL DOMINGOS;Grande-Oficial;20/10/2015;;;;
Ministro;ADALNIO SENNA GANEM;Oficial;18/09/1991;;;;
Cel Av;ADALTO FERREIRA DA SILVA;Cavaleiro;17/09/1980;;;;
Maj Brig Ar;ADAMASTOR BELTRÃO CANTALICE;Grande-Oficial;12/10/1966;;;;
Cel Med (Ex);ADAMASTOR DIAS MATOS;Oficial;17/10/2002;;;;
Cel Int R/1;ADÃO AIRTON DA ROSA SILVA;Oficial;20/09/2006;;;;
2º Ten QOEA;ADÃO DA SILVA BRITTO;Cavaleiro;20/09/1983;;;;
Cel Int;ADÃO HENRIQUE PATINES PEDROSO;Oficial;19/10/2012;;;;
Suboficial SMU R/1;ADÃO RODRIGUES VIANA;Cavaleiro;20/09/2019;;;;
Gen Div;ADAUTO BEZERRA DE ARAÚJO;Comendador;13/10/1969;;;;
Brig Int;ADAUTO BEZERRA DE ARAÚJO;Oficial;09/10/1972;;;;
SO QSS SAD;ADAUTO DE FREITAS MOREIRA;Cavaleiro;13/10/2016;;;;
SO QSS BEI;ADAUTO TESSER;Cavaleiro;17/10/2002;;;;
Médico;ADAY COUTINHO;Cavaleiro;01/10/2003;;;;
Cel Av;ADDI IVAN FERREIRA DA SILVA;Oficial;26/09/2001;;;;
Cel Farm;ADDISON SCARTON COUTINHO;Cavaleiro;05/09/1988;;;;
Cel Av Ref;ADEÉLE MIGON;Oficial;19/10/1970;;;;
3S QESA SAD;ADEIGI ABADIO PEREIRA;Cavaleiro;19/10/2010;;;;
Cel Int;ADEILSON TENÓRIO DA COSTA;Cavaleiro;14/10/1992;;;;
Cel Eng;ADEL SARAIVA PEÑA;Oficial;21/10/2013;; ;;
ST ART;ADELAR VOLLMER DE ABREU;Cavaleiro;19/10/2010;;;;
Economista;ADÉLIA MARIA LEÃO MENESCAL;Cavaleiro;16/09/1998;;;;
Cel Av;ADELINO DE LOUREIRO GIL;Oficial;14/10/1992;;;;
Engenheiro;ADELINO GOMES CARDOSO;Cavaleiro;17/10/2002;;;;
SO QSS SAD;ADELINO MOTA PEREIRA;Cavaleiro;11/09/1996;;;;
Maj Brig Ar;ADÉLIO DEL TEDESCO;Grande-Oficial;17/09/1980;;;;
SO QSS SEL;ADELMAR FONSECA DA SILVA;Cavaleiro;17/10/2002;;;;
Senhor;ADELMAR SILVEIRA SABINO;Comendador;26/09/2000;;;;
Comandante-Geral (GCM/SP);ADELSON DE SOUZA;Oficial;;3.346/MD;08/09/2017;;
SO QSS BMA;ADELSON FRANCISCO SALLES;Cavaleiro;21/10/2011;;;;
Cel Av;ADELSON NOGUEIRA DA MOTA;Oficial;13/10/2020;;;;
Mal Ex;ADEMAR DE QUEIROZ;Grande-Oficial;12/10/1964;;;;
Cel Av Ref;ADEMAR MARINHO GALVÃO FILHO;Oficial;28/09/1999;;;;
Gen Div (Int);ADEMAR MESSIAS DE ARAGÃO;Comendador;02/10/1978;;;;
Cel Av R/1;ADEMILTON TENÓRIO DE ALBUQUERQUE;Cavaleiro;06/09/2004;;;;
Prefeito de Pirassununga (SP);ADEMIR ALVES LINDO;Comendador;29/09/2009;;;;
