Cel Av;ADELSON NOGUEIRA DA MOTA;(Oficial)
Senhora;ADRIANA DE BARROS NOGUEIRA DE MATTOS;(Cavaleiro)
Senhora;ADRIANA DE SOUZA BORGES SIQUEIRA;(Cavaleiro)
S Ten Inf;ADRIANO ALVES TEPERINO;(Cavaleiro)
CT (AA);ADRIANO DA SILVA;(Cavaleiro)
CMG;ADRIANO MARCELINO BATISTA;(Oficial)
Subsecretário;ADRIANO PEREIRA DE PAULA;(Cavaleiro)
Senhor;ALBERTO CARLOS DE MELLO FONSECA;(Oficial)
Doutor;ALCIDES ALCARAZ GOMES;(Oficial)
Brig Int;ALCIDES ROBERTO NUNES;(Comendador)
Gen Bda;ALCIO ALVES ALMEIDA E COSTA;(Comendador)
Cel Av;ALESSANDRO BARBOSA ARRAIS DE OLIVEIRA;(Cavaleiro)
Cel Av;ALESSANDRO CRAMER;(Oficial)
Cel Av;ALESSANDRO SORGINI D'AMATO;(Cavaleiro)
Cel Cav;ALEX ALEXANDRE DE MESQUITA;(Oficial)
Cel Av;ALEX MENDES LIMA;(Cavaleiro)
Lt Gen (CANADÁ);ALEXANDER DONALD MEINZINGER;(Grande-Oficial)
SO QSS BMT;ALEXANDRE AUGUSTO DE OLIVEIRA;(Cavaleiro)
Cel Med;ALEXANDRE BESSA ROALE;(Cavaleiro)
Cel Av;ALEXANDRE DA COSTA CUNHA;(Cavaleiro)
Cel Av;ALEXANDRE DE CARVALHO RIBEIRO;(Cavaleiro)
Gen Bda Eng Mil;ALEXANDRE FERNANDES LOBO NOGUEIRA;(Comendador)
SO QSS BEI;ALEXANDRE HENRIQUE CHAVES;(Cavaleiro)
Cel Av;ALEXANDRE HOFFMANN;(Oficial)
Cel Av;ALEXANDRE LIMA PRADO;(Oficial)
Cel Av;ALEXANDRE MENDES DE OLIVEIRA;(Oficial)
V Alte;ALEXANDRE RABELLO DE FARIA;(Grande-Oficial)
Senhor;ALEXANDRE SILVEIRA DE OLIVEIRA;(Oficial)
Brig Inf;ALMIR PINTO DE LIMA;(Comendador)
Cap QOEA SVA;AMARO COSTA TAVARES;(Cavaleiro)
Secretário;AMARO LUIZ DE OLIVEIRA GOMES;(Oficial)
V Alte;AMAURY CALHEIROS BOITE JUNIOR;(Grande-Oficial)
Cel Int;ANCELMO MODESTI;(Comendador)
1S QSS BEV;ANDERSON REGINALDO SANTILLI;(Cavaleiro)
Gen Bda Int;ANDRÉ BASTOS SILVA;(Comendador)
Professor;ANDRE DA COSTA GONÇALVES;(Cavaleiro)
Cel Av;ANDRE DA SILVA FERREIRA;(Oficial)
Cel Av;ANDRÉ FERNANDO ALBUQUERQUE BERGO;(Cavaleiro)
SO QSS BMA;ANDRÉ GOMES CRUZ;(Cavaleiro)
Cel Av;ANDRE LUIS BARBOZA TOPINI;(Oficial)
Cel Dent;ANDRE LUIS MACHADO SOARES;(Cavaleiro)
CF;ANDRÉ LUIS MARTINI VIEIRA;(Cavaleiro)
Gen Div;ANDRÉ LUIS NOVAES MIRANDA;(Grande-Oficial)
Cel Av;ANDRE LUIS RIBEIRO;(Oficial)
SO (SI);ANDRÉ LUIZ BEZERRA DA ROCHA;(Cavaleiro)
