ORDEM DO MêRITO AERONµUTICO;;;;;;;;;;;
;;;;;;;;;;;
INS÷GNIAS - INSTITUIÄÂES;;;;;;;;;;;
;;;;;;;;;;;
(Atualizada atÇ Outubro de 2019);;;;;;;;;;;
;;;;;;;;;;;
NR;SIGLA_ORG;DESCRIÄ«O;INSTITUIC«O;CATEG;DT_INSIG;DT_DOU;REG;;;;
1;AFA;Academia da Foráa AÇrea;Aeron†utica;Estandarte;08/03/1946;;134;;;;
2;AMAN;Academia Militar das Agulhas Negras;ExÇrcito;Estandarte;02/10/1978;03/10/1978;3121;;;;
3;ANE;Academia Nacional de Engenharia;Outros;Estandarte;01/10/2003;02/10/2003;;;;;
4;;AÇro-Club de France;Outros;;07/06/2006;08/06/2006;;;;;
5;AT-1;Aer¢dromo de TrÉnsito nß 1;Foráa AÇrea Portuguesa;Estandarte;23/10/2013;23/10/2013;12110;;;;
6;AirU-EUA;Air University dos Estados Unidos da AmÇrica;USAF;Bandeira;29/09/1966;30/09/1966;1426;;;;
7;;Andrews Air Force Base;Outros;Estandarte;26/09/2005;27/09/2005;9484;;;;
8;ADESG;Associaá∆o dos Diplomados da Escola Superior de Guerra;Outros;Estandarte;23/09/1997;24/09/1997;7128;;;;
9;BAAN;Base AÇrea de An†polis;Aeron†utica;Bandeira;02/10/1978;03/10/1978;3119;;;;
10;BABE;Base AÇrea de BelÇm;Aeron†utica;Estandarte;20/09/1984;25/09/1984;4471;;;;
11;BABV;Base AÇrea de Boa Vista;Aeron†utica;Estandarte;20/09/2006;21/09/2006;9498;;;;
12;BABR;Base AÇrea de Bras°lia;Aeron†utica;Estandarte;12/09/1990;11/10/1990;5818;;;;
13;BACG;Base AÇrea de Campo Grande;Aeron†utica;Estandarte;20/09/1984;25/09/1984;4472;;;;
14;BACO;Base AÇrea de Canoas;Aeron†utica;Estandarte;20/09/1983;27/09/1983;4152;;;;
15;BAFL;Base AÇrea de Florian¢polis;Aeron†utica;Estandarte;20/09/1984;25/09/1984;4473;;;;
16;BAFZ;Base AÇrea de Fortaleza;Aeron†utica;Estandarte;20/09/1985;23/09/1985;4720;;;;
