ORD;QUALIFICAÇÃO;AGRACIADO;PORTARIA;DATA
1;Suboficial R/1;Abcélvio Rodrigues;968-A/SCC;14/12/1990
2;Senhor;Abdenago Teles da Silva Filho;106/SC;21/02/2007
3;Taifeiro-Mor QTA TCO;Abdenário Baptista dos Santos;1813/SCC;20/12/1984
4;Terceiro-Sargento;Abdias Barreto da Silva Neto;107/SC;25/02/2010
5;Suboficial QSS BMA;Abdias dos Santos Silva;113/SCC;28/02/2000
6;Primeiro-Sargento QSS BSP;Abdias Francisco de Lima Filho;1813/SCC;20/12/1984
7;Suboficial QSS BET;Abediel Ferreira Soares;107/SC;25/02/2009
8;Suboficial QSS BET;Abel Alves de Brito;193/SCC;20/02/1995
9;Suboficial QSS STP;Abel Camilo Soares;130/SCGC;03/02/2014
10;Primeiro-Sargento de Intendência;Abel Ewen de Araújo Filho;130/SCGC;03/02/2014
11;Cabo QCB SEM;Abel Gava;193/SCC;20/02/1995
12;Suboficial (AV);Abel Marques Ferreira dos Reis;247/SC;06/03/2006
13;Suboficial QSS BEI;Abel Palandi;100/SCC;20/02/1997
14;Senhor;Abelardo Augusto da Silva;931/SCC;12/12/1989
15;Suboficial (AV-CV);Abelardo da Paixão Santiago;107/SC;25/02/2010
16;Primeiro-Sargento BMB;Abelardo de Lucena Dias;81/SC;07/02/2011
17;Suboficial QSS BEI;Abelardo Hissashi Matida;141/SC;19/02/2002
18;Terceiro-Sargento QESA SGS;Abias Francisco Rodrigues;931/SCC;12/12/1989
19;Senhor;Abílio da Silva;092/SCC;20/01/1982
20;Cabo QCB BCO;Abilio Dias Pinto;98/SCC;18/02/1998
21;Terceiro-Sargento QSS ;Abilio Esteves de Brito;247/SC;06/03/2006
22;Senhor;Abílio Isaías;051/SCC;26/02/1993
23;Suboficial QSS BMA;Abílio Marques Filho;202/SC;18/02/2004
24;Taifeiro de Primeira Classe QTA SST;Abimael de Souza Silva;100/SCC;20/02/1997
25;Primeiro-Sargento (Ex);Abimael Ferreira de Lima;051/SCC;26/02/1993
26;Terceiro-Sargento QTA TAR;Abimael Ribeiro Andrade;202/SC;18/02/2004
27;Terceiro-Sargento QTA TAR;Abimael Ribeiro da Silva;6/SCGC;08/01/2018
28;Suboficial QSS SDE;Abinoam Praxedes Marques;116/SCC;20/01/1984
29;Primeiro-Sargento QSS SGS;Abner da Silva Ribeiro;245/SC;13/03/2003
30;Suboficial QSS SMU;Abner Oliveira da Silva;10/SCGC;10/01/2019
31;Cabo QCB SAD;Abner Soares Duarte;80/SC;26/02/2008
32;Primeiro-Sargento QSS BCT;Abraão Caetano da Silva;29/SCGC;29/01/2016
33;Cabo QCB SAD;Abraão Lins de Albuquerque;931/SCC;12/12/1989
34;Terceiro-Sargento QC (DT);Abrahão Domingos da Silva;086/SCC;20/01/1983
35;Cabo QCB BCO;Abrahão Menezes da Silva;113/SC;22/02/2001
36;Primeiro-Sargento QSS BEV;Abrahão Nascimento dos Santos;193/SCC;20/02/1995
37;Cabo QCB SAD;Absayr Rocha Vaz;193/SCC;20/02/1995
38;Suboficial QSS SAD;Acácio Alves Dutra;247/SC;06/03/2006
39;Primeiro-Sargento QSS SAD;Acácio Gonçalves de Freitas;1057/SCC;20/12/1985
40;Primeiro-Sargento QSS SCF;Acacio Pinto Miranda;6/SCGC;08/01/2018
41;Suboficial QSS BCT;Acácio Vieira de Carvalho;160/SCC;16/03/1994
42;Primeiro-Tenente QOEA;Acari Kolle;086/SCC;20/01/1983
43;Primeiro-Sargento;Acidezio Paulino Valentim;107/SC;25/02/2009
44;Suboficial QSS BCO;Acídio Batista;90/SCC;22/02/1999
45;Terceiro-Sargento;Acir Evaristo da Silva;81/SC;07/02/2011
46;Suboficial QSS BCO;Aciuso Batista;90/SCC;22/02/1999
47;Primeiro-Sargento QSS STA;Acy José de Oliveira Marques;086/SCC;20/01/1983
48;Suboficial QSS SDE;Acyr Passos Filho;113/SC;22/02/2001
49;Primeiro-Tenente QOEA;Acyr Rodrigues Dietrich;047/SCC;20/01/1981
50;Primeiro-Sargento QSS BCO;Adahyl Barbosa;086/SCC;20/01/1983
51;Suboficial QSS BSP;Adaílton Batista da Paz;841/SCC;01/12/1988
52;Cabo QCB SAD;Adaílton David de Queiroz;051/SCC;26/02/1993
53;Taifeiro de Primeira Classe QTA TCO;Adailton Souza Borges;048/SCC;18/01/1996
54;Senhor;Adair Charles;202/SC;18/02/2004
55;Suboficial QSS SAD;Adair dos Santos Nazareth;1194/SCC;15/12/1986
56;Suboficial QSS SGS;Adair Evangelista;931/SCC;12/12/1989
57;Primeiro-Sargento QSS BEP;Adair José Fernandes;1.659/SCGC;21/12/2016
58;Senhor;Adair Lago;086/SCC;20/01/1983
59;Segundo-Sargento QTA TCO;Adair Lima Maia;107/SC;25/02/2009
60;Suboficial QTA TAR;Adair Xavier Dias Filho;870/SCC;20/12/1991
61;Suboficial QSS BMB;Adair Zanon Denardin;160/SCC;16/03/1994
62;Senhor;Adalberon Moura;968-A/SCC;14/12/1990
63;Suboficial QSS BCO;Adalberto Alves de Souza;931/SCC;12/12/1989
64;Segundo-Sargento QTA TAR;Adalberto Antonio Almeida Maia;247/SC;06/03/2006
65;Senhor;Adalberto Baptista da Cruz;841/SCC;01/12/1988
66;Primeiro-Sargento BMA;Adalberto Bruzzio Martins Neto;80/SC;26/02/2008
67;Suboficial QSS SAD;Adalberto Cordeiro de Souza;047/SCC;20/01/1981
68;Suboficial QSS SMU;Adalberto da Silva Barros;048/SCC;18/01/1996
69;Suboficial QSS BMA;Adalberto Fernandes;58/SC;14/02/2012
70;Primeiro-Sargento SCF;Adalberto Ferreira Luz;80/SC;26/02/2008
71;Senhor;Adalberto Ferreira Romar;10/SCGC;10/01/2019
72;Primeiro-Sargento QSS SAD;Adalberto Francisco de Abreu;968-A/SCC;14/12/1990
73;Cabo QCB BSP;Adalberto Gomes de Sousa;58/SC;14/02/2012
74;Cabo QCB SGS;Adalberto José de Castro;58/SC;14/02/2012
75;Primeiro-Sargento de Engenharia;Adalberto Nascimento dos Santos;189/SC;07/02/2013
76;Terceiro-Sargento de Infantaria;Adalberto Oliveira Júnior;80/SC;26/02/2008
77;Suboficial QSS BEI;Adalberto Santana;247/SC;06/03/2006
78;Suboficial QSS SMU;Adalgiso Cirilo dos Reis Junior;29/SCGC;29/01/2016
79;Suboficial QSS SAD;Adalto de Oliveira Dias;141/SC;19/02/2002
80;Terceiro-Sargento QSS STA;Adalto Fernandes;1813/SCC;20/12/1984
81;Terceiro-Sargento QESA SAD;Adalto José Fernandes;98/SCC;18/02/1998
82;Suboficial QSS BEI;Adalto José Gomes Dias;130/SCGC;03/02/2014
83;Primeiro-Sargento QSS BMA;Adaltro Raul Dos Santos;1.659/SCGC;21/12/2016
84;Terceiro-Sargento QC (PA);Adamir Ferreira de Souza;086/SCC;20/01/1983
85;Senhor;Adamor Linhares Santana;110/SCC;28/01/1980
86;Primeiro-Sargento QSS SAD;Adamor Santana de Paula;113/SCC;28/02/2000
87;Cabo QCB SAD;Adan Kenedy Nunes Xavier;1.659/SCGC;21/12/2016
88;Primeiro-Sargento QSS BCO;Adão Alfredo Hofstatter;1194/SCC;15/12/1986
89;Taifeiro-Mor QTA TAR;Adão Alves Cardoso;1172/SCC;15/12/1987
90;Suboficial QSS BMT;Adão Alvim Pereira;086/SCC;20/01/1983
91;Suboficial QSS BET;Adão Carlos dos Santos;1194/SCC;15/12/1986
92;Suboficial QSS BMA;Adão Carlos Seehase;113/SCC;28/02/2000
93;Primeiro-Sargento QSS SEM;Adão de Jesus Barcelos Nunes;968-A/SCC;14/12/1990
94;Cabo QCB SOB;Adão Evi de Miranda;113/SC;22/02/2001
95;Suboficial QSS SPV;Adão Ferreira dos Santos;182/SCGC;18/02/2015
96;Suboficial QSS BSP;Adão Francisco Silveira dos Santos;113/SCC;28/02/2000
97;Suboficial QSS SAD;Adão Gâmba;1057/SCC;20/12/1985
98;Terceiro-Sargento QSS SAD;Adão Gomes de Oliveira Junior;189/SC;07/02/2013
99;Suboficial QSS BMA;Adão José Dutra;1172/SCC;15/12/1987
100;Segundo-Sargento QE;Adão Peres de Quinta;10/SCGC;10/01/2019
101;Suboficial QSS SAD;Adão Reis de Magalhães;1172/SCC;15/12/1987
102;Suboficial QSS SMU;Adão Rodrigues Viana;189/SC;07/02/2013
103;Primeiro-Sargento QSS SEF;Adão Sadi Ritzel;1813/SCC;20/12/1984
104;Senhor;Adão Silveira da Silva;092/SCC;20/01/1982
105;Suboficial QSS BCO;Adão Soli Moutinho;091/SCC;20/01/1980
106;Terceiro-Sargento QESA SAD;Adaumir Rodrigues de Santana;161/SC;21/02/2003
107;Segundo-Sargento QSS BMA;Adauto de Carvalho Guimarães;113/SC;22/02/2001
108;Primeiro-Sargento QSS SAD;Adauto de Freitas Moreira;204/SC;22/02/2005
109;Suboficial QSS BEI;Adauto Tesser;193/SCC;20/02/1995
110;Primeiro-Sargento QSS BET;Addson Pereira Anastacio;6/SCGC;08/01/2018
111;Terceiro-Sargento QESA SGS;Adedi Paulo dos Santos;161/SC;21/02/2003
112;Terceiro-Sargento QESA SAD;Adeigi Abadio Pereira;106/SC;21/02/2007
113;Primeiro-Sargento QSS BCT;Adeilson Alves da Silva;6/SCGC;08/01/2018
114;Cabo QCB SOB;Adeilto Rodrigues Nogueira;81/SC;07/02/2011
115;Primeiro-Sargento QSS SAD;Adeilton Rodrigues Costa;6/SCGC;08/01/2018
116;Primeiro-Tenente QOEA CTA;Adejalmo Zucheto;161/SC;21/02/2003
117;Suboficial QSS BMA;Adelair Augusto Ribeiro;1813/SCC;20/12/1984
118;Suboficial QSS SEF;Adelermo Miguez Filho;870/SCC;20/12/1991
119;Senhora;Adélia Ataíde Queiroz;182/SCGC;18/02/2015
120;Senhora;Adelina Ferreira Lima de Moura;968-A/SCC;14/12/1990
121;Senhor;Adelino Álvaro de Moraes;092/SCC;20/01/1982
122;Suboficial QSS BET;Adelino Auto de Jesus;202/SC;18/02/2004
123;Senhor;Adelino Martins;968-A/SCC;14/12/1990
124;Suboficial QSS SAD;Adelino Mota Pereira;047/SCC;20/01/1981
125;Suboficial (AV-MV);Adelmar Celestino Prasser;106/SC;21/02/2007
126;Cabo QCB BSP;Adelmar da Costa Júnior;051/SCC;26/02/1993
127;Suboficial QSS SEL;Adelmar Fonseca da Silva;98/SCC;18/02/1998
128;Suboficial QSS BMA;Adelmar Souza da Cruz;6/SCGC;08/01/2018
129;Suboficial SAD;Adelmo Coelho Duarte;107/SC;25/02/2010
130;Senhor;Adelmo Martins Santos;113/SCC;28/02/2000
131;Subtenente de Infantaria;Adelpe Henrique de Araújo;107/SC;25/02/2009
132;Terceiro-Sargento QESA SGS;Adelson da Silva Ferreira;160/SCC;16/03/1994
133;Suboficial QSS BMA;Adelson Francisco Salles;204/SC;22/02/2005
134;Subtenente de Intendência;Adelson José Valentim;189/SC;07/02/2013
135;Suboficial QSS BMA;Adelson Luiz Jacobs;202/SC;18/02/2004
136;Suboficial QSS BMA;Adelvir Machado de Oliveira;051/SCC;26/02/1993
137;Segundo-Tenente QOEA SVA;Adelzon Antônio da Silva;202/SC;18/02/2004
138;Primeiro-Sargento QSS SAD;Ademar Artur de Freitas Cruz;106/SC;21/02/2007
