QUALIFICAÇÃO;NOME;PORTARIA;DATA
Suboficial R/1;Abcélvio Rodrigues;968-A/SCC;33221
Senhor;Abdenago Teles da Silva Filho;106/SC;39134
Taifeiro-Mor QTA TCO;Abdenário Baptista dos Santos;1813/SCC;31036
Terceiro-Sargento;Abdias Barreto da Silva Neto;107/SC;40234
Suboficial QSS BMA;Abdias dos Santos Silva;113/SCC;36584
Primeiro-Sargento QSS BSP;Abdias Francisco de Lima Filho;1813/SCC;31036
Suboficial QSS BET;Abediel Ferreira Soares;107/SC;39869
Suboficial QSS BET;Abel Alves de Brito;193/SCC;34750
Suboficial QSS STP;Abel Camilo Soares;130/SCGC;41673
Primeiro-Sargento de Intendência;Abel Ewen de Araújo Filho;130/SCGC;41673
Cabo QCB SEM;Abel Gava;193/SCC;34750
Suboficial (AV);Abel Marques Ferreira dos Reis;247/SC;38782
Suboficial QSS BEI;Abel Palandi;100/SCC;35481
Senhor;Abelardo Augusto da Silva;931/SCC;32854
Suboficial (AV-CV);Abelardo da Paixão Santiago;107/SC;40234
Primeiro-Sargento BMB;Abelardo de Lucena Dias;81/SC;40581
Suboficial QSS BEI;Abelardo Hissashi Matida;141/SC;37306
Terceiro-Sargento QESA SGS;Abias Francisco Rodrigues;931/SCC;32854
Senhor;Abílio da Silva;092/SCC;29971
Cabo QCB BCO;Abilio Dias Pinto;98/SCC;35844
Terceiro-Sargento QSS ;Abilio Esteves de Brito;247/SC;38782
Senhor;Abílio Isaías;051/SCC;34026
Suboficial QSS BMA;Abílio Marques Filho;202/SC;38035
Taifeiro de Primeira Classe QTA SST;Abimael de Souza Silva;100/SCC;35481
Primeiro-Sargento (Ex);Abimael Ferreira de Lima;051/SCC;34026
Terceiro-Sargento QTA TAR;Abimael Ribeiro Andrade;202/SC;38035
Terceiro-Sargento QTA TAR;Abimael Ribeiro da Silva;6/SCGC;43108
Suboficial QSS SDE;Abinoam Praxedes Marques;116/SCC;30701
Primeiro-Sargento QSS SGS;Abner da Silva Ribeiro;245/SC;37693
Senhor;Abner de Araujo Carvalho;19/SCGC;44207
Suboficial QSS SMU;Abner Oliveira da Silva;10/SCGC;43475
Cabo QCB SAD;Abner Soares Duarte;80/SC;39504
Primeiro-Sargento QSS BCT;Abraão Caetano da Silva;29/SCGC;29/01/2016
Cabo QCB SAD;Abraão Lins de Albuquerque;931/SCC;32854
Terceiro-Sargento QC (DT);Abrahão Domingos da Silva;086/SCC;30336
Cabo QCB BCO;Abrahão Menezes da Silva;113/SC;36944
Primeiro-Sargento QSS BEV;Abrahão Nascimento dos Santos;193/SCC;34750
Cabo QCB SAD;Absayr Rocha Vaz;193/SCC;34750
Suboficial QSS SAD;Acácio Alves Dutra;247/SC;38782
Primeiro-Sargento QSS SAD;Acácio Gonçalves de Freitas;1057/SCC;31401
Primeiro-Sargento QSS SCF;Acacio Pinto Miranda;6/SCGC;43108
Suboficial QSS BCT;Acácio Vieira de Carvalho;160/SCC;34409
Primeiro-Tenente QOEA;Acari Kolle;086/SCC;30336
Primeiro-Sargento;Acidezio Paulino Valentim;107/SC;39869
Suboficial QSS BCO;Acídio Batista;90/SCC;36213
Terceiro-Sargento;Acir Evaristo da Silva;81/SC;40581
Suboficial QSS BCO;Aciuso Batista;90/SCC;36213
Primeiro-Sargento QSS STA;Acy José de Oliveira Marques;086/SCC;30336
Suboficial QSS SDE;Acyr Passos Filho;113/SC;36944
Primeiro-Tenente QOEA;Acyr Rodrigues Dietrich;047/SCC;29606
Primeiro-Sargento QSS BCO;Adahyl Barbosa;086/SCC;30336
Primeiro-Sargento SMU;Adaildo de Almeida;19/SCGC;44207
Suboficial QSS BSP;Adaílton Batista da Paz;841/SCC;32478
Cabo QCB SAD;Adaílton David de Queiroz;051/SCC;34026
Taifeiro de Primeira Classe QTA TCO;Adailton Souza Borges;048/SCC;35082
Senhor;Adair Charles;202/SC;38035
Suboficial QSS SAD;Adair dos Santos Nazareth;1194/SCC;31761
Suboficial QSS SGS;Adair Evangelista;931/SCC;32854
Primeiro-Sargento QSS BEP;Adair José Fernandes;1.659/SCGC;42725
Senhor;Adair Lago;086/SCC;30336
Segundo-Sargento QTA TCO;Adair Lima Maia;107/SC;39869
Suboficial QTA TAR;Adair Xavier Dias Filho;870/SCC;33592
Suboficial QSS BMB;Adair Zanon Denardin;160/SCC;34409
Senhor;Adalberon Moura;968-A/SCC;33221
Suboficial QSS BCO;Adalberto Alves de Souza;931/SCC;32854
Segundo-Sargento QTA TAR;Adalberto Antonio Almeida Maia;247/SC;38782
Senhor;Adalberto Baptista da Cruz;841/SCC;32478
Primeiro-Sargento BMA;Adalberto Bruzzio Martins Neto;80/SC;39504
Suboficial QSS SAD;Adalberto Cordeiro de Souza;047/SCC;29606
Suboficial QSS SMU;Adalberto da Silva Barros;048/SCC;35082
Suboficial QSS BMA;Adalberto Fernandes;58/SC;40953
Primeiro-Sargento SCF;Adalberto Ferreira Luz;80/SC;39504
Senhor;Adalberto Ferreira Romar;10/SCGC;43475
Primeiro-Sargento QSS SAD;Adalberto Francisco de Abreu;968-A/SCC;33221
Cabo QCB BSP;Adalberto Gomes de Sousa;58/SC;40953
Cabo QCB SGS;Adalberto José de Castro;58/SC;40953
Primeiro-Sargento de Engenharia;Adalberto Nascimento dos Santos;189/SC;41312
Terceiro-Sargento de Infantaria;Adalberto Oliveira Júnior;80/SC;39504
Suboficial QSS BEI;Adalberto Santana;247/SC;38782
Suboficial QSS SMU;Adalgiso Cirilo dos Reis Junior;29/SCGC;29/01/2016
Suboficial QSS SAD;Adalto de Oliveira Dias;141/SC;37306
Terceiro-Sargento QSS STA;Adalto Fernandes;1813/SCC;31036
Terceiro-Sargento QESA SAD;Adalto José Fernandes;98/SCC;35844
Suboficial QSS BEI;Adalto José Gomes Dias;130/SCGC;41673
Primeiro-Sargento QSS BMA;Adaltro Raul Dos Santos;1.659/SCGC;42725
Terceiro-Sargento QC (PA);Adamir Ferreira de Souza;086/SCC;30336
Senhor;Adamor Linhares Santana;110/SCC;29248
Primeiro-Sargento QSS SAD;Adamor Santana de Paula;113/SCC;36584
Cabo QCB SAD;Adan Kenedy Nunes Xavier;1.659/SCGC;42725
Primeiro-Sargento QSS BCO;Adão Alfredo Hofstatter;1194/SCC;31761
Taifeiro-Mor QTA TAR;Adão Alves Cardoso;1172/SCC;32126
Suboficial QSS BMT;Adão Alvim Pereira;086/SCC;30336
Suboficial QSS BET;Adão Carlos dos Santos;1194/SCC;31761
Suboficial QSS BMA;Adão Carlos Seehase;113/SCC;36584
