QUALIFICAÇÃO;NOME;PORTARIA;DATA
Segundo-Sargento QSS SAD;Jaasiel Gipson da Silva Campos;6/SCGC;43108
Suboficial QSS SEF;Jaceguai Francisco Bittencourt;98/SCC;35844
Terceiro-Sargento QESA BSP;Jacéli de Araújo Moura;2/SCGC;43836
Senhora;Jaci Bezerra de Araújo;113/SCC;36584
Segundo-Sargento QSS SAD;Jaci Braga Sanches;841/SCC;32478
Suboficial QSS SAD;Jaci de Jesus Vieira;204/SC;38405
Primeiro-Sargento QSS SAD;Jaci dos Santos Lourenço;113/SC;36944
Suboficial QSS BMB;Jaci Scheffer Suppi;90/SCC;36213
Capitão QOEA SVA;Jacilene de Lemos Andrade;113/SC;36944
Senhora;Jacinta Maria Bezerra Tavares;870/SCC;33592
Primeiro-Sargento de Comunicações;Jacir Antonelli de Souza;80/SC;39504
Suboficial QSS SEL;Jacir Barbosa da Silva;130/SCGC;41673
Suboficial QSS SGS;Jacir Paulo dos Santos;931/SCC;32854
Senhora;Jacira Rodrigues Cordeiro;160/SCC;34409
Taifeiro-Mor QTA TCO;Jacírio dos Santos;968-A/SCC;33221
Senhor;Jacker Antônio Carneiro Marini;968-A/SCC;33221
Segundo-Sargento QSS SPV;Jackline Dôse;29/SCGC;29/01/2016
Suboficial QSS BEP;Jackson Alves Pereira;051/SCC;34026
Senhor;Jackson Balthazar de Arruda Câmara;19/SCGC;44207
Primeiro-Sargento QSS BCT;Jackson Cadete Dias;130/SCGC;41673
Suboficial QSS SMU;Jackson Cesar dos Santos;107/SC;39869
Suboficial QSS BCO;Jackson de Alexandre Campista;193/SCC;34750
Primeiro-Sargento QSS BET;Jackson Gomes Da Silva;1.659/SCGC;42725
Segundo-Sargento QSS SAD;Jackson Lopes da Silva;2/SCGC;43836
Capitão;Jackson Paz Dominguez;968-A/SCC;33221
Suboficial SAD;Jackson Wilton Zacharias da Silva;19/SCGC;44207
Taifeiro-Mor QTA TAR;Jacó Miranda de Souza;1194/SCC;31761
Taifeiro de Segunda Classe QTA TAR;Jacó Nicolau Pires;051/SCC;34026
Senhor;Jacob Cavalcante Mendonça;841/SCC;32478
Suboficial BET;Jacob Leonardo Kaspary;80/SC;39504
Primeiro-Sargento BMA;Jacob Ricardo Link;81/SC;40581
Suboficial QSS SAD;Jacob Sirio Blume;1172/SCC;32126
Cabo QCB BCO;Jaconias Oliveira Júnior;161/SC;37673
Suboficial QFG SAD;Jacqueline Ramos Martinez;58/SC;40953
Suboficial SEF;Jacques Fonseca de Paula;81/SC;40581
Subtenente de Artilharia;Jacques Munis Tavares da Silva;80/SC;39504
Suboficial QSS BMA;Jacques Rafael Resende;80/SC;39504
Suboficial QSS SAD;Jacques Rogerio Silva;58/SC;40953
Senhor;Jacy Caetano de Andrade;1057/SCC;31401
Senhor;Jacy dos Santos Vaz;092/SCC;29971
Senhor;Jacy Ferreira de Souza;086/SCC;30336
Suboficial QSS BSP;Jacy Sinfrônio da Silveira;1813/SCC;31036
Suboficial QSS SEL;Jacyntho Chagas Dager;047/SCC;29606
Primeiro-Sargento SMU;Jadenilson Silveira Pereira;19/SCGC;44207
Cabo QCB SEM;Jader Bispo;048/SCC;35082
Senhor;Jader Camilo da Silva;189/SC;41312
Suboficial SAD;Jader Emmanoel dos Santos Campello;107/SC;40234
Suboficial QSS BCO;Jader Jackson Barreira Motta;189/SC;41312
Segundo-Sargento SAI;Jader Pinheiro de Oliveira;81/SC;40581
Cabo QCB SAD;Jáder Rodrigues da Silva;931/SCC;32854
Primeiro-Sargento QSS BMB;Jadir José dos Santos Filho;6/SCGC;43108
Terceiro-Sargento;Jadir Lemos da Costa;81/SC;40581
Segundo-Sargento QSS SAD;Jadson James Bezerra Cavalcanti;80/SC;39504
Cabo QCB SGS;Jaildo Porto Moreira;100/SCC;35481
Primeiro-Sargento QSS SAD;Jailson Cardoso de Oliveira;189/SC;41312
Segundo-Sargento QSS SAD;Jailson Carlos Fernandes Alvim;107/SC;39869
Terceiro-Sargento QESA SAD;Jailson Fernandes da Silva;100/SCC;35481
Capitão QOEA ANV;Jailson José Caluête de Farias;100/SCC;35481
Senhor;Jailson Moura da Silva;81/SC;40581
Subtenente de Comunicações;Jailton César Padilha;1.659/SCGC;42725
Capitão QOEA SVA;Jailton da Silva Gomes;100/SCC;35481
Segundo-Sargento QSS SAD;Jailton de Oliveira Rosas;247/SC;38782
Suboficial QSS BMA;Jailton do Nascimento;90/SCC;36213
Suboficial QSS BCO;Jailton Freitas dos Santos;182/SCGC;42053
Primeiro-Sargento QSS BMA;Jailton Oliveira Ferreira;107/SC;39869
Suboficial BCO;Jailton Rodrigues Teixeira;107/SC;40234
Primeiro-Tenente QOEA;Jaime Aílton de Almeida;047/SCC;29606
Senhor;Jaime Alves Filho;841/SCC;32478
Suboficial QSS BMA;Jaime Antônio Fantinel;1194/SCC;31761
Suboficial Mayor;Jaime Antonio Fernandez Vera;81/SC;40581
Cabo QCB SGS;Jaime Coelho;1057/SCC;31401
Suboficial QSS SGS;Jaime da Costa;1057/SCC;31401
Primeiro-Sargento SAD;Jaime da Silva Medeiros;107/SC;40234
Suboficial;Jaime de Azevedo;113/SCC;36584
Suboficial QSS BCT;Jaime de Jesus Benites;98/SCC;35844
Suboficial QSS BCO;Jaime de Oliveira;841/SCC;32478
Primeiro-Sargento QSS BEP;Jaime de Souza;841/SCC;32478
Senhor;Jaime Ferreira da Cunha Filho;98/SCC;35844
Suboficial QSS BCT;Jaime Fraga dos Santos;051/SCC;34026
Suboficial QSS BCO;Jaime Luiz de Arruda;931/SCC;32854
Suboficial QSS SEM;Jaime Marques Junior;189/SC;41312
Suboficial QSS BMA;Jaime Martins Fontes;047/SCC;29606
Cabo QCB SAD;Jaime Maximiano de Freitas;90/SCC;36213
Segundo-Tenente QOEA;Jaime Nunes Filho;086/SCC;30336
Taifeiro-Mor QTA TAR;Jaime Pazuello;841/SCC;32478
Senhor;Jaime Peregrino da Silva;1172/SCC;32126
Suboficial QSS BET;Jaime Rieta Pereira;161/SC;37673
