ORD;QUALIFICAÇÃO;AGRACIADO;PORTARIA;DATA
1;SO QSS BET;Abcélvio Rodrigues;;12/06/1996
2;Doutor;Abdala Fábio Couri;;07/01/1966
3;Gen Ex;Abdias da Costa Ramos;;31/05/1989
4;SO QSS BMA;Abdias dos Santos Silva;271/SC;19/05/2011
5;1S QSS BSP;Abdias Francisco de Lima Filho;;31/05/1989
6;Jornalista;Abdias Silva;;16/06/1980
7;Gen Div;Abdon Sena;;14/07/1965
8;Doutor;Abeguar Machado Massera;;03/06/1992
9;Doutor;Abel Azevedo Caminha;;19/01/1957
10;Maj Esp CTA;Abel Braga Ribeiro;;16/06/1980
11;SO QSS STP;Abel Camilo Soares;649/SCGC;10/05/2018
12;Ten Cel Ex;Abel da Rocha Catuta;;17/06/1985
13;Maj QOAV;Abel de Castro Laudares;728/SCGC;13/05/2019
14;Cel Ex;Abel Machado;;17/06/1986
15;Senhor;Abel Mesquita Zambom;721/SCGC;29/05/2015
16;SO QSS SAD;Abel Rodrigues;;26/06/1968
17;Professor;Abel Rosato;;03/06/1992
18;Senhor;Abel Silveira Gomes;341/SC;25/05/2010
19;Doutor;Abelard França;;16/01/1957
20;Professor;Abelardo Arruda de Brito;;20/12/1961
21;Doutor;Abelardo Coimbra Bueno;;17/06/1987
22;SO QSS BMB;Abelardo de Lucena Dias;877/SCGC;30/05/2014
23;Professor;Abelardo F. Montenegro;;23/02/1962
24;Deputado Federal ;Abelardo Luiz Lupion Mello;968/SC;03/06/2013
25;General-de-Brigada;Abelardo Prisco de Souza Júnior;667/SC;22/06/2004
26;Maj Esp CTA;Aberaldo Luiz Rafs Machado;;17/06/1987
27;Civil;Abibe Ferreira Júnior;461/SC;25/05/2009
28;SO QSS BMA;Abílio Carvalho Pereira;;30/06/1978
29;SO QSS SGS;Abílio Corrêa de Souza;;15/07/1970
30;Senhor;Abílio da Silva;;01/07/1994
31;Senhor;Abílio de Almeida;;15/07/1969
32;Senhor;Abílio do Nascimento;;10/12/1957
33;Doutor;Abílio Machado Filho;;11/07/1969
34;Ten Cel Eng;Abílio Neves Garcia;341/SC;25/05/2010
35;Senhor;Abílio Ribeiro de Oliveira;400/SCC;12/06/1997
36;Ten Cel Ex;Abílio Salles Dória;;24/06/1974
37;Senhor;Abimar Sarmet Moreira;;11/05/1972
38;Suboficial (FN-IF);Abismael Gonçalves da Silva;423/SC;11/06/2008
39;Doutor;Abner Brígido Costa;;20/12/1961
40;1S QSS SGS;Abner da Silva Ribeiro;341/SC;25/05/2010
41;Coronel-de-Engenharia;Abner Gonçalves de Magalhães;271/SC;19/05/2011
42;Cel Eng;Abner Maciel de Castro;;05/06/1979
43;Cel Av;Abner Medeiros Correia;;17/06/1987
44;Cel Av;Abnner Nascimento Alves;410/SC;22/05/2001
