ORD;QUALIFICAÇÃO;NOME;GRAU;DECRETO;PORTARIA;DATA
1;SO QSS BET;ABCÉLVIO RODRIGUES;Cavaleiro;17/10/2002;;
2;Senhor;ABDALLA HANNA OBEID;Cavaleiro;;3.626/GM-MD;29/08/2019
3;Gen Ex;ABDIAS DA COSTA RAMOS;Grande-Oficial;23/09/1993;;
4;Gen Div;ABDON SENA;Grande-Oficial;29/09/1971;;
5;Maj Av;ABDON VARGAS SOTO;Oficial;13/03/1950;;
6;Suboficial STP R/1;ABEL CAMILO SOARES;Cavaleiro;20/09/2019;;
7;Senhor;ABEL DA COSTA VALE NETO;Cavaleiro;;2.753/MD;22/10/2014
8;Cel Ex;ABEL MACHADO;Oficial;25/09/1981;;
9;Senhor;ABEL PEREIRA LEITE;Cavaleiro;17/09/1980;;
10;Ten Cel Av;ABEL ROMERO;Oficial;30/10/1950;;
11;Sócio-Diretor (SABEL);ABEL SARMENTO DA ROCHA;Cavaleiro;;3.626/GM-MD;29/08/2019
12;1º Ten Av;ABELARDO DE ALMEIDA E ALBUQUERQUE;Cavaleiro;22/10/1948;;
13;General-de-Brigada;ABELARDO PRISCO DE SOUZA JÚNIOR;Comendador;06/09/2004;;
14;CMG;ABELARDO ROMANO MILANEZ;Oficial;17/10/1966;;
15;Superintendente da INFRAERO (RJ);ABIBE FERREIRA JUNIOR;Oficial;;2.818/MD;22/10/2012
16;Engenheiro;ABILIO AUGUSTO REAL BIATO;Cavaleiro;;2.267/MD;21/10/2015
17;Senhor;ABÍLIO JOSÉ MENDES GOMES;Cavaleiro;21/10/2011;;
18;Cel Eng;ABÍLIO NEVES GARCIA;Cavaleiro;13/10/2016;;
19;Senhor;ABÍLIO RIBEIRO DE OLIVEIRA;Oficial;20/09/2006;;
20;Doutor;ABNER BRÍGIDO COSTA;Grande-Oficial;17/09/1980;;
21;Coronel-de-Engenharia;ABNER GONÇALVES DE MAGALHÃES;Oficial;21/10/2011;;
22;Cel Av;ABNER MEDEIROS CORREIA;Oficial;26/09/2001;;
23;Comandante;ABRAHAM NAMIHAS MARIN;Oficial;17/10/1983;;
24;Astrónomo;ABRAHÃO DE MORAES;Grande-Oficial;07/10/1968;;
25;SO QSS BEV;ABRAHÃO NASCIMENTO DOS SANTOS;Cavaleiro;26/09/2001;;
26;Senhor;ABRAM SZAJMAN;Grande-Oficial;26/09/2000;;
27;Empresário;ACÁCIO ROSA DE QUEIROZ FILHO;Comendador;;3.346/MD;08/09/2017
