Presidente da Câmara dos Deputados;Brasília;30/04/2022 - 16:15;Maceió;30/04/2022 - 18:20;Serviço/Segurança ;11;
Presidente da Câmara dos Deputados;Maceió;01/05/2022 - 21:55;Brasília;02/05/2022 - 00:10;Serviço/Segurança ;6;
Ministro da Saúde;João Pessoa;01/05/2022 - 16:35;Brasília;01/05/2022 - 19:05;Serviço ;11;
Presidente do Supremo Tribunal Federal;Rio de Janeiro (Santos Dumont);02/05/2022 - 16:05;Brasília;02/05/2022 - 17:40;Serviço/Segurança ;4;
Ministro da Cidadania;Brasília;01/05/2022 - 16:05;Porto Alegre;01/05/2022 - 18:35;Serviço ;12;
Ministro da Cidadania;Porto Alegre;01/05/2022 - 23:40;Brasília;02/05/2022 - 01:55;Serviço ;12;
Ministro da Saúde;Brasília;02/05/2022 - 07:00;Rio de Janeiro (Santos Dumont);02/05/2022 - 08:25;Serviço ;11;
Ministro da Saúde;Rio de Janeiro (Santos Dumont);02/05/2022 - 19:35;Brasília;02/05/2022 - 21:15;Serviço ;11;
Ministro das Comunicações;São Paulo (Congonhas);02/05/2022 - 14:50;Brasília;02/05/2022 - 16:15;Serviço ;1;
Comandante da Marinha;Brasília;22/04/2022 - 13:15;Recife;22/04/2022 - 15:30;Serviço ;8;
Comandante da Marinha;Recife;22/04/2022 - 16:30;Praia (Cabo Verde);22/04/2022 - 22:20;Serviço ;8;
Comandante da Marinha;Praia (Cabo Verde);22/04/2022 - 23:40;Lisboa (Portugal);23/04/2022 - 05:30;Serviço ;8;
Comandante da Marinha;Lisboa (Portugal);23/04/2022 - 07:10;Florence (Itália);23/04/2022 - 10:30;Serviço ;8;
Comandante da Marinha;Florence (Itália);26/04/2022 - 08:00;Ankara (Turquia);26/04/2022 - 11:30;Serviço ;8;
Comandante da Marinha;Ankara (Turquia);27/04/2022 - 16:35;Istanbul (Turquia);27/04/2022 - 17:25;Serviço ;8;
Comandante da Marinha;Istanbul (Turquia);30/04/2022 - 10:25;Roma (Itália);30/04/2022 - 11:35;Serviço ;8;
Comandante da Marinha;Roma (Itália);30/04/2022 - 12:40;Lisboa (Portugal);30/04/2022 - 14:20;Serviço ;8;
Comandante da Marinha;Lisboa (Portugal);01/05/2022 - 15:45;Mindelo (Cabo Verde);01/05/2022 - 18:15;Serviço ;8;
Comandante da Marinha;Mindelo (Cabo Verde);02/05/2022 - 15:25;Recife;02/05/2022 - 17:40;Serviço ;8;
Comandante da Marinha;Recife;02/05/2022 - 18:20;Brasília;02/05/2022 - 20:45;Serviço ;8;
Ministro das Relações Exteriores;Brasília;02/05/2022 - 18:10;Montevideo (Uruguai);02/05/2022 - 21:30;Serviço ;9;
Ministro das Relações Exteriores;Montevideo (Uruguai);03/05/2022 - 18:10;Brasília;03/05/2022 - 21:25;Serviço ;9;
Ministro da Infraestrutura;Brasília;02/05/2022 - 07:45;Porto Alegre;02/05/2022 - 10:10;Serviço ;20;
Ministro da Infraestrutura;Porto Alegre;02/05/2022 - 22:20;Brasília;03/05/2022 - 00:45;Serviço ;20;
Ministro da Infraestrutura;Brasília;03/05/2022 - 08:45;São Paulo (Congonhas);03/05/2022 - 10:20;Serviço ;12;
Ministro da Infraestrutura;São Paulo (Congonhas);03/05/2022 - 14:30;Brasília;03/05/2022 - 16:00;Serviço ;12;
Ministro da Educação;Brasília;03/05/2022 - 06:35;Guaratinguetá;03/05/2022 - 07:55;Serviço ;8;
Ministro da Educação;Guaratinguetá;03/05/2022 - 16:30;Brasília;03/05/2022 - 17:55;Serviço ;8;
Ministro do Desenvolvimento Regional;Brasília;03/05/2022 - 07:40;Natal (Parnamirim);03/05/2022 - 10:10;Serviço ;12;
Ministro do Desenvolvimento Regional;Natal (Parnamirim);03/05/2022 - 15:15;Brasília;03/05/2022 - 17:55;Serviço ;12;
Presidente do Supremo Tribunal Federal;Brasília;05/05/2022 - 18:45;Florianópolis;05/05/2022 - 20:40;Serviço/Segurança ;5;
Ministro das Relações Exteriores;Brasília;05/05/2022 - 14:10;João Pessoa;05/05/2022 - 16:35;Serviço ;7;
Ministro da Educação;Brasília;05/05/2022 - 05:30;Florianópolis;05/05/2022 - 07:30;Serviço ;8;
Ministro da Educação;Florianópolis;05/05/2022 - 12:25;Brasília;05/05/2022 - 14:25;Serviço ;6;
Ministro das Minas e Energia;São Paulo (Congonhas);05/05/2022 - 15:00;Brasília;05/05/2022 - 16:35;Serviço ;6;
Ministro do Desenvolvimento Regional;João Pessoa;05/05/2022 - 17:20;Brasília;05/05/2022 - 20:00;Serviço ;12;
Ministra da Mulher, da Família e dos Direitos Humanos;Brasília;05/05/2022 - 09:00;Cuiabá;05/05/2022 - 09:30;Serviço ;14;
Ministra da Mulher, da Família e dos Direitos Humanos;Cuiabá;05/05/2022 - 18:20;Brasília;05/05/2022 - 20:35;Serviço ;14;
Ministro da Educação;Brasília;06/05/2022 - 10:10;Ilhéus;06/05/2022 - 11:30;Serviço ;7;
Ministro da Educação;Ilhéus;06/05/2022 - 16:35;Brasília;06/05/2022 - 18:15;Serviço ;8;
Ministro da Cidadania;João Pessoa;06/05/2022 - 00:45;Brasília;06/05/2022 - 03:20;Serviço ;4;
Ministro da Cidadania;Brasília;06/05/2022 - 08:25;Presidente Prudente;06/05/2022 - 09:45;Serviço ;12;
Ministro da Cidadania;Presidente Prudente;06/05/2022 - 14:05;Brasília;06/05/2022 - 15:20;Serviço ;12;
Ministro das Minas e Energia;Brasília;05/05/2022 - 21:40;João Pessoa;06/05/2022 - 00:05;Serviço ;6;
Ministro do Desenvolvimento Regional;Brasília;06/05/2022 - 07:00;Aracaju;06/05/2022 - 08:45;Serviço ;12;
Ministro do Desenvolvimento Regional;Aracaju;06/05/2022 - 14:15;Brasília;06/05/2022 - 16:20;Serviço ;12;
Comandante da Marinha;Brasília;06/05/2022 - 08:45;Rio de Janeiro (Santos Dumont);06/05/2022 - 10:45;Serviço ;8;
Ministro das Relações Exteriores;Brasília;07/05/2022 - 08:05;São Paulo (Congonhas);07/05/2022 - 09:30;Serviço ;3;
Ministro das Relações Exteriores;São Paulo (Congonhas);07/05/2022 - 19:45;Brasília;07/05/2022 - 21:15;Serviço ;3;
Ministro da Saúde;Brasília;06/05/2022 - 07:30;Campinas;06/05/2022 - 08:45;Serviço ;11;
Ministro da Saúde;Campinas;06/05/2022 - 12:45;São Paulo (Congonhas);06/05/2022 - 13:05;Serviço ;11;
Ministro da Saúde;São Paulo (Guarulhos);07/05/2022 - 08:00;Tabatinga;07/05/2022 - 10:25;Serviço ;11;
Ministro da Saúde;Tabatinga;07/05/2022 - 15:00;Brasília;07/05/2022 - 20:40;Serviço ;11;
Presidente do Congresso Nacional;Brasília;07/05/2022 - 09:35;Belo Horizonte (Pampulha);07/05/2022 - 10:35;Serviço/Segurança ;9;
Presidente do Congresso Nacional;Belo Horizonte (Pampulha);08/05/2022 - 17:40;Brasília;08/05/2022 - 18:55;Serviço/Segurança ;8;
Presidente do Supremo Tribunal Federal;Florianópolis;06/05/2022 - 20:25;Rio de Janeiro (Santos Dumont);06/05/2022 - 21:35;Serviço/Segurança ;5;
Presidente do Supremo Tribunal Federal;Rio de Janeiro (Santos Dumont);09/05/2022 - 16:50;Brasília;09/05/2022 - 18:30;Serviço/Segurança ;5;
Ministro da Educação;Brasília;10/05/2022 - 08:05;São Paulo (Congonhas);10/05/2022 - 09:35;Serviço ;14;
Ministro da Educação;São Paulo (Congonhas);10/05/2022 - 15:30;Brasília;10/05/2022 - 16:55;Serviço ;13;
Ministro do Trabalho e Previdência;Brasília;09/05/2022 - 16:15;São Paulo (Congonhas);09/05/2022 - 17:40;Serviço ;11;
Ministro do Trabalho e Previdência;São Paulo (Congonhas);10/05/2022 - 17:30;Brasília;10/05/2022 - 19:05;Serviço ;11;
Presidente do Supremo Tribunal Federal;Brasília;11/05/2022 - 18:30;Salvador;11/05/2022 - 20:00;Serviço/Segurança ;7;
Presidente da Câmara dos Deputados;Brasília;05/05/2022 - 21:35;Bridgetown (Barbados);06/05/2022 - 01:15;Serviço ;11;
Presidente da Câmara dos Deputados;Bridgetown (Barbados);06/05/2022 - 02:10;New York (EUA);06/05/2022 - 07:05;Serviço ;11;
Presidente da Câmara dos Deputados;New York (EUA);12/05/2022 - 09:20;Fort-de-France (França);12/05/2022 - 13:45;Serviço ;11;
Presidente da Câmara dos Deputados;Fort-de-France (França);12/05/2022 - 14:45;Brasília;12/05/2022 - 20:40;Serviço ;11;
Presidente do Congresso Nacional;Brasília;12/05/2022 - 15:30;Salvador;12/05/2022 - 17:00;Serviço/Segurança;13;
Presidente do Congresso Nacional;Salvador;13/05/2022 - 11:20;Brasília;13/05/2022 - 13:15;Serviço/Segurança;13;
Ministro da Saúde;Brasília;13/05/2022 - 14:15;Rio de Janeiro (Santos Dumont);13/05/2022 - 15:35;Serviço ;11;
Ministro do Turismo;Brasília;13/05/2022 - 09:35;Corumbá;13/05/2022 - 10:35;Serviço ;12;
Ministro do Turismo;Corumbá;13/05/2022 - 16:55;Brasília;13/05/2022 - 19:25;Serviço ;12;
Comandante da Marinha;Brasília;10/05/2022 - 19:00;Fortaleza;10/05/2022 - 21:20;Serviço ;12;
Comandante da Marinha;Fortaleza;11/05/2022 - 17:25;Maceió;11/05/2022 - 18:35;Serviço ;12;
Comandante da Marinha;Maceió;13/05/2022 - 10:25;Brasília;13/05/2022 - 12:40;Serviço ;12;
Ministro da Cidadania;Brasília;12/05/2022 - 17:00;Belém;12/05/2022 - 19:20;Serviço ;12;
Ministro da Cidadania;Belém;13/05/2022 - 11:00;Aracaju;13/05/2022 - 13:20;Serviço ;12;
Ministro da Cidadania;Aracaju;14/05/2022 - 09:15;Brasília;14/05/2022 - 11:25;Serviço ;12;
Comandante do Exército;Brasília;11/05/2022 - 12:45;Rio de Janeiro (Galeão);11/05/2022 - 14:05;Serviço ;36;
Comandante do Exército;Rio de Janeiro (Galeão);12/05/2022 - 17:15;Canoas;12/05/2022 - 19:15;Serviço ;36;
Comandante do Exército;Canoas;14/05/2022 - 18:25;Brasília;14/05/2022 - 20:50;Serviço ;36;
Presidente do Congresso Nacional;Brasília;16/05/2022 - 14:35;São Paulo (Congonhas);16/05/2022 - 16:10;Serviço/Segurança ;10;
Presidente do Supremo Tribunal Federal;Salvador;13/05/2022 - 08:45;Rio de Janeiro (Santos Dumont);13/05/2022 - 10:45;Serviço/Segurança ;7;
Presidente do Supremo Tribunal Federal;Rio de Janeiro (Santos Dumont);16/05/2022 - 16:35;Brasília;16/05/2022 - 18:15;Serviço/Segurança ;7;
