Posto/Quadro/Qualificação; Nome;Nº Portaria;Data Portaria
SO QSS BET;Abcélvio Rodrigues;;35228
Doutor;Abdala Fábio Couri;;24114
Gen Ex;Abdias da Costa Ramos;;32659
SO QSS BMA;Abdias dos Santos Silva;271/SC;40682
1S QSS BSP;Abdias Francisco de Lima Filho;;32659
Jornalista;Abdias Silva;;29388
Gen Div;Abdon Sena;;23937
Doutor;Abeguar Machado Massera;;33758
Doutor;Abel Azevedo Caminha;;20839
Maj Esp CTA;Abel Braga Ribeiro;;29388
SO QSS STP;Abel Camilo Soares;649/SCGC;43230
Ten Cel Ex;Abel da Rocha Catuta;;31215
Maj QOAV;Abel de Castro Laudares;728/SCGC;43598
Cel Ex;Abel Machado;;31580
Senhor;Abel Mesquita Zambom;721/SCGC;29/05/2015
SO QSS SAD;Abel Rodrigues;;25015
Professor;Abel Rosato;;33758
Senhor;Abel Silveira Gomes;341/SC;40323
Doutor;Abelard França;;20836
Professor;Abelardo Arruda de Brito;;22635
Doutor;Abelardo Coimbra Bueno;;31945
SO QSS BMB;Abelardo de Lucena Dias;877/SCGC;41789
Professor;Abelardo F. Montenegro;;22700
Deputado Federal ;Abelardo Luiz Lupion Mello;968/SC;41428
General-de-Brigada;Abelardo Prisco de Souza Júnior;667/SC;38160
Maj Esp CTA;Aberaldo Luiz Rafs Machado;;31945
Civil;Abibe Ferreira Júnior;461/SC;39958
SO QSS BMA;Abílio Carvalho Pereira;;28671
SO QSS SGS;Abílio Corrêa de Souza;;25764
Senhor;Abílio da Silva;;34516
Senhor;Abílio de Almeida;;25399
Senhor;Abílio do Nascimento;;21164
Doutor;Abílio Machado Filho;;25395
Ten Cel Eng;Abílio Neves Garcia;341/SC;40323
Senhor;Abílio Ribeiro de Oliveira;400/SCC;35593
Ten Cel Ex;Abílio Salles Dória;;27204
Senhor;Abimar Sarmet Moreira;;26430
Suboficial (FN-IF);Abismael Gonçalves da Silva;423/SC;39610
Doutor;Abner Brígido Costa;;22635
1S QSS SGS;Abner da Silva Ribeiro;341/SC;40323
Coronel-de-Engenharia;Abner Gonçalves de Magalhães;271/SC;40682
Cel Eng;Abner Maciel de Castro;;29011
Cel Av;Abner Medeiros Correia;;31945
Cel Av;Abnner Nascimento Alves;410/SC;37033
SO QSS BMT;Abnorah Ferreira Paz Nunes Machado;;27204
Maj Méd;Abraham Abitbol;;27941
Cel Ex;Abraham Aharoni;;29424
2S QSS BMA;Abrahão Becker Pereira;;27204
SO QSS BEV;Abrahão Nascimento dos Santos;400/SCC;35593
