Ministro da Ciência, Tecnologia e Inovação;Brasília;02/02/2023 - 07:10;Rio de Janeiro (Santos Dumont);02/02/2023 - 08:55;Serviço ;7;VOO COMPARTILHADO
Ministra do Esporte;Brasília;02/02/2023 - 07:10;Rio de Janeiro (Santos Dumont);02/02/2023 - 08:55;Serviço ;7;VOO COMPARTILHADO
Ministro da Ciência, Tecnologia e Inovação;Rio de Janeiro (Santos Dumont);02/02/2023 - 16:40;Brasília;02/02/2023 - 18:15;Serviço ;8;
Presidente do Congresso Nacional;Brasília;03/02/2023 - 12:20;Rio de Janeiro (Santos Dumont);03/02/2023 - 13:50;Serviço / Segurança ;13;VOO COMPARTILHADO
Ministro do Turismo;Brasília;03/02/2023 - 12:20;Rio de Janeiro (Santos Dumont);03/02/2023 - 13:50;Serviço ;12;VOO COMPARTILHADO
Presidente do Congresso Nacional;Rio de Janeiro (Santos Dumont);03/02/2023 - 17:35;Brasília;03/02/2023 - 19:05;Serviço / Segurança ;13;
Ministra do Esporte;Rio de Janeiro (Santos Dumont);03/02/2023 - 16:40;São Paulo (Guarulhos);03/02/2023 - 17:30;Serviço ;2;
Secretário de Relações Institucionais da PR;Brasília;03/02/2023 - 06:40;São Paulo (Congonhas);03/02/2023 - 08:15;Serviço ;15;
Ministro da Agricultura e Pecuária;Brasília;04/02/2023 - 08:00;Uberaba;04/02/2023 - 08:50;Serviço ;14;
Ministro da Agricultura e Pecuária;Uberaba;04/02/2023 - 22:55;Brasília;04/02/2023 - 23:45;Serviço ;14;
Ministra dos Povos Indígenas;Brasília;04/02/2023 - 06:35;Boa Vista;04/02/2023 - 09:00;Serviço ;4;
Secretário de Relações Institucionais da PR;São Paulo (Congonhas);04/02/2023 - 08:15;Araraquara;04/02/2023 - 08:55;Serviço ;9;
Secretário de Relações Institucionais da PR;Araraquara;04/02/2023 - 15:45;São Paulo (Congonhas);04/02/2023 - 16:20;Serviço ;9;
Presidente da Câmara dos Deputados;Brasília;04/02/2023 - 15:05;Maceió;04/02/2023 - 17:25;Serviço / Segurança ;4;
Presidente da Câmara dos Deputados;Maceió;05/02/2023 - 21:00;Brasília;05/02/2023 - 23:10;Serviço / Segurança ;9;
Secretário de Relações Institucionais da PR;São Paulo (Guarulhos);05/02/2023 - 17:40;Brasília;05/02/2023 - 19:05;Serviço ;15;
À disposição do Ministério da Defesa;São Paulo (Congonhas);06/02/2023 - 13:20;Brasília;06/02/2023 - 14:55;Segurança;1;
Ministro da Fazenda;São Paulo (Congonhas);06/02/2023 - 08:10;Brasília;06/02/2023 - 09:35;Serviço ;5;
Ministro dos Trasportes ;Brasília;06/02/2023 - 07:25;Rio de Janeiro (Santos Dumont);06/02/2023 - 09:10;Serviço ;8;VOO COMPARTILHADO
Ministro da Agricultura e Pecuária;Brasília;06/02/2023 - 07:25;Rio de Janeiro (Santos Dumont);06/02/2023 - 09:10;Serviço ;12;VOO COMPARTILHADO
Ministro da Educação;Brasília;06/02/2023 - 07:25;Rio de Janeiro (Santos Dumont);06/02/2023 - 09:10;Serviço ;8;VOO COMPARTILHADO
Ministro da Ciência, Tecnologia e Inovação;Brasília;06/02/2023 - 07:25;Rio de Janeiro (Santos Dumont);06/02/2023 - 09:10;Serviço ;5;VOO COMPARTILHADO
Ministra do Meio Ambiente e Mudança do Clima;Brasília;06/02/2023 - 07:25;Rio de Janeiro (Santos Dumont);06/02/2023 - 09:10;Serviço ;2;VOO COMPARTILHADO
Ministro da Advocacia Geral da União;Brasília;06/02/2023 - 07:25;Rio de Janeiro (Santos Dumont);06/02/2023 - 09:10;Serviço ;15;VOO COMPARTILHADO
Ministro da Controladoria Geral da União;Brasília;06/02/2023 - 07:25;Rio de Janeiro (Santos Dumont);06/02/2023 - 09:10;Serviço ;1;VOO COMPARTILHADO
Ministro dos Trasportes ;Rio de Janeiro (Santos Dumont);06/02/2023 - 13:45;Brasília;06/02/2023 - 15:20;Serviço ;8;VOO COMPARTILHADO
Ministro da Agricultura e Pecuária;Rio de Janeiro (Santos Dumont);06/02/2023 - 13:45;Brasília;06/02/2023 - 15:20;Serviço ;12;VOO COMPARTILHADO
Ministra do Meio Ambiente e Mudança do Clima;Rio de Janeiro (Santos Dumont);06/02/2023 - 13:45;Brasília;06/02/2023 - 15:20;Serviço ;2;VOO COMPARTILHADO
Ministro do Turismo;Rio de Janeiro (Santos Dumont);06/02/2023 - 13:45;Brasília;06/02/2023 - 15:20;Serviço ;12;VOO COMPARTILHADO
Ministro da Educação;Rio de Janeiro (Santos Dumont);06/02/2023 - 18:15;Brasília;06/02/2023 - 19:55;Serviço ;8;VOO COMPARTILHADO
Ministro da Advocacia Geral da União;Rio de Janeiro (Santos Dumont);06/02/2023 - 18:15;Brasília;06/02/2023 - 19:55;Serviço ;15;VOO COMPARTILHADO
Ministro da Controladoria Geral da União;Rio de Janeiro (Santos Dumont);06/02/2023 - 18:15;Brasília;06/02/2023 - 19:55;Serviço ;1;VOO COMPARTILHADO
Ministro Integração do Desenvolvimento Regional;Brasília;06/02/2023 - 09:20;Araraquara;06/02/2023 - 10:30;Serviço ;25;VOO COMPARTILHADO
Ministro das Cidades;Brasília;06/02/2023 - 09:20;Araraquara;06/02/2023 - 10:30;Serviço ;6;VOO COMPARTILHADO
Ministro Integração do Desenvolvimento Regional;Araraquara;06/02/2023 - 12:55;Brasília;06/02/2023 - 14:00;Serviço ;25;VOO COMPARTILHADO
Ministro das Cidades;Araraquara;06/02/2023 - 12:55;Brasília;06/02/2023 - 14:00;Serviço ;6;VOO COMPARTILHADO
Ministro da Saúde;Rio de Janeiro (Galeão);06/02/2023 - 18:05;São Paulo (Congonhas);06/02/2023 - 19:05;Serviço ;10;
Ministro da Saúde;São Paulo (Congonhas);07/02/2023 - 19:15;Brasília;07/02/2023 - 20:40;Serviço ;10;
Ministro da Ciência, Tecnologia e Inovação;Rio de Janeiro (Santos Dumont);07/02/2023 - 08:35;Brasília;07/02/2023 - 10:05;Serviço ;6;
Ministro do Turismo;Brasília;06/02/2023 - 20:15;Salvador;06/02/2023 - 21:55;Serviço ;12;
Ministro do Turismo;Salvador;07/02/2023 - 17:40;Brasília;07/02/2023 - 19:25;Serviço ;12;
Presidente da Câmara dos Deputados;Brasília;09/02/2023 - 09:00;Cascavel;09/02/2023 - 10:50;Serviço / Segurança ;21;
Ministro da Defesa;Brasília;08/02/2023 - 07:35;Novo Progresso;08/02/2023 - 09:15;Serviço ;36;
Ministro da Defesa;Novo Progresso;08/02/2023 - 09:55;Boa Vista;08/02/2023 - 11:05;Serviço ;36;
Ministro da Defesa;Boa Vista;09/02/2023 - 15:30;Brasília;09/02/2023 - 20:20;Serviço ;36;
À disposição do Ministério da Defesa;Brasília;09/02/2023 - 19:10;São Paulo (Congonhas);09/02/2023 - 20:50;Serviço / Segurança ;1;
À disposição do Ministério da Defesa;Brasília;09/02/2023 - 05:00;Boa Vista;09/02/2023 - 07:20;Serviço ;10;
À disposição do Ministério da Defesa;Boa Vista;09/02/2023 - 16:45;Brasília;09/02/2023 - 21:20;Serviço ;10;
Ministro da Saúde;Brasília;09/02/2023 - 21:15;Rio de Janeiro (Galeão);09/02/2023 - 22:35;Serviço ;10;
Ministro das Comunicações;Brasília;09/02/2023 - 05:20;Boa Vista;09/02/2023 - 07:40;Serviço ;3;
Ministro das Comunicações;Boa Vista;09/02/2023 - 15:35;Brasília;09/02/2023 - 20:15;Serviço ;3;VOO COMPARTILHADO
