Presidente do Supremo Tribunal Federal;Brasília;01/09/2023 - 09:20;Vitória;01/09/2023 - 10:40;"Serviço/Segurança 
";6;
Presidente do Supremo Tribunal Federal;Vitória;01/09/2023 - 17:05;Brasília;01/09/2023 - 18:40;"Serviço/Segurança 
";10;
Ministro dos Transportes;Fortaleza;31/08/2023 - 20:20;Teresina;31/08/2023 - 21:10;"Serviço 
";12;
Ministro dos Transportes;Teresina;01/09/2023 - 11:20;Brasília;01/09/2023 - 13:15;"Serviço 
";12;
Secretário da Comunicação Social;Canoas;01/09/2023 - 19:45;Brasília;01/09/2023 - 22:05;Serviço;10;
À Disposição do Ministério da Defesa;Brasília;03/09/2023 - 09:15;São Paulo (Congonhas);03/09/2023 - 10:50;Serviço/Segurança ;1;
Ministra dos Povos Indígenas;Brasília;02/09/2023 - 03:10;Cruzeiro Do Sul;02/09/2023 - 07:10;Serviço;7;
Ministra dos Povos Indígenas;Cruzeiro Do Sul;03/09/2023 - 18:30;Brasília;03/09/2023 - 22:25;Serviço;7;
Presidente do Congresso Nacional (Em exercício);Brasília;31/08/2023 - 14:15;João Pessoa;31/08/2023 - 16:45;Serviço/Segurança;8;
Presidente do Congresso Nacional (Em exercício);João Pessoa;04/09/2023 - 15:10;Brasília;04/09/2023 - 17:35;Serviço/Segurança;8;
Presidente da Câmara dos Deputados;Brasília;31/08/2023 - 16:50;São Paulo (Congonhas);31/08/2023 - 18:15;Serviço/Segurança;5;
Presidente da Câmara dos Deputados;São Paulo (Congonhas);01/09/2023 - 13:35;Maceió;01/09/2023 - 16:10;Serviço/Segurança;5;
Presidente da Câmara dos Deputados;Maceió;04/09/2023 - 08:10;Recife;04/09/2023 - 08:40;Serviço/Segurança;5;
Presidente da Câmara dos Deputados;Recife;04/09/2023 - 12:05;Brasília;04/09/2023 - 14:30;Serviço/Segurança;8;
Ministro da Justiça e Segurança Pública;Brasília;01/09/2023 - 16:25;São Luís;01/09/2023 - 18:40;Serviço/Segurança;8;
Ministro da Justiça e Segurança Pública;São Luís;03/09/2023 - 19:25;Vitória;03/09/2023 - 22:25;Serviço/Segurança;8;
Ministro da Justiça e Segurança Pública;Vitória;04/09/2023 - 12:15;Brasília;04/09/2023 - 13:45;Serviço/Segurança;12;
Ministro da Fazenda;São Paulo (Congonhas);04/09/2023 - 07:45;Brasília;04/09/2023 - 09:10;Serviço;1;VOO COMPARTILHADO
Ministro da Controladoria Geral da União;São Paulo (Congonhas);04/09/2023 - 07:45;Brasília;04/09/2023 - 09:10;Serviço;12;VOO COMPARTILHADO
Ministro de Portos e Aeroportos;Campinas;04/09/2023 - 16:40;Brasília;04/09/2023 - 18:00;Serviço;5;VOO COMPARTILHADO
Ministra do Esporte;Campinas;04/09/2023 - 16:40;Brasília;04/09/2023 - 18:00;Serviço;9;VOO COMPARTILHADO
Ministro do Trabalho e Emprego;Brasília;04/09/2023 - 11:10;Porto Alegre;04/09/2023 - 13:30;Serviço;6;
Ministro do Trabalho e Emprego;Porto Alegre;04/09/2023 - 18:25;Brasília;04/09/2023 - 20:50;"Serviço 
";6;
Presidente do Congresso Nacional;Brasília;30/08/2023 - 19:50;Bridgetown (Barbados);30/08/2023 - 23:30;Serviço/Segurança;11;
Presidente do Congresso Nacional;Bridgetown (Barbados);31/08/2023 - 03:10;Washignton (EUA);31/08/2023 - 08:25;Serviço/Segurança;11;
Presidente do Congresso Nacional;Washignton (EUA);04/09/2023 - 17:15;Bridgetown (Barbados);04/09/2023 - 21:55;Serviço/Segurança ;11;
Presidente do Congresso Nacional;Bridgetown (Barbados);04/09/2023 - 23:00;Brasília;05/09/2023 - 04:55;Serviço/Segurança ;11;
À Disposição do Ministério da Defesa;São Paulo (Congonhas);05/09/2023 - 09:50;Brasília;05/09/2023 - 11:20;Serviço/Segurança ;1;
Ministro da Fazenda;Brasília;05/09/2023 - 19:00;São Paulo (Congonhas);05/09/2023 - 20:30;"Serviço 
";12;
Ministro dos Transportes;Brasília;05/09/2023 - 20:10;Goiânia;05/09/2023 - 20:40;"Serviço 
";12;
Ministro da Educação;Brasília;05/09/2023 - 10:30;Goiânia;05/09/2023 - 11:10;"Serviço 
";12;
Ministro da Educação;Goiânia;05/09/2023 - 14:20;Brasília;05/09/2023 - 14:55;"Serviço 
";12;
Ministra da Saúde;Brasília;04/09/2023 - 16:45;Salvador;04/09/2023 - 18:20;Serviço;11;
Ministra da Saúde;Salvador;05/09/2023 - 08:15;Brasília;05/09/2023 - 09:50;"Serviço 
";11;
À Disposição do Ministério da Defesa;Brasília;06/09/2023 - 18:50;São Paulo (Congonhas);06/09/2023 - 20:20;Serviço/Segurança ;1;
Ministro Integração do Desenvolvimento Regional;Brasília;06/09/2023 - 06:15;Caxias Do Sul;06/09/2023 - 08:25;Serviço;12;
Ministro Integração do Desenvolvimento Regional;Caxias Do Sul;06/09/2023 - 15:20;Brasília;06/09/2023 - 17:30;Serviço;12;
Presidente da Câmara dos Deputados;Brasília;06/09/2023 - 20:15;Maceió;06/09/2023 - 22:20;Serviço/Segurança ;8;
Presidente da Câmara dos Deputados;Maceió;10/09/2023 - 19:00;Brasília;10/09/2023 - 21:20;Serviço/Segurança ;8;
Ministro do Turismo;Brasília;09/09/2023 - 13:50;Petrolina;09/09/2023 - 15:20;Serviço ;12;
Ministro do Turismo;Petrolina;10/09/2023 - 10:30;Brasília;10/09/2023 - 12:05;Serviço;12;
Ministro das Cidades;Belém;10/09/2023 - 02:00;Brasília;10/09/2023 - 04:25;Serviço ;12;
Ministro da Casa Civil da Presidência da República;Salvador ;11/09/2023 - 09:10;Recife;11/09/2023 - 10:35;Serviço ;5;
Ministro da Fazenda;São Paulo (Congonhas);11/09/2023 - 07:10;Brasília;11/09/2023 - 08:35;Serviço;12;
Ministro dos Transportes;Brasília;11/09/2023 - 06:50;Recife;11/09/2023 - 09:20;"Serviço 
";11;
Ministro da Educação;Teresina;11/09/2023 - 17:55;João Pessoa;11/09/2023 - 19:25;Serviço;12;
Ministra da Saúde;Brasília;11/09/2023 - 11:40;Vitória;11/09/2023 - 13:00;"Serviço 
";9;
Ministro do Turismo;Brasília;11/09/2023 - 08:45;Curitiba;11/09/2023 - 10:25;Serviço;20;
Presidente do Congresso Nacional;Brasília;11/09/2023 - 17:50;São Paulo (Congonhas);11/09/2023 - 19:10;Serviço/Segurança;8;
Presidente do Congresso Nacional;São Paulo (Congonhas);12/09/2023 - 07:55;Brasília;12/09/2023 - 09:20;Serviço/Segurança;10;
Ministro da Casa Civil da Presidência da República;Recife;11/09/2023 - 18:40;João Pessoa;11/09/2023 - 19:05;Serviço;16;
Ministro da Casa Civil da Presidência da República;João Pessoa;12/09/2023 - 13:30;Brasília;12/09/2023 - 15:55;Serviço;36;
Ministro da Justiça e Segurança Pública;São Paulo (Guarulhos);09/09/2023 - 21:10;Santiago (Chile);10/09/2023 - 01:20;Serviço/Segurança;5;
Ministro da Justiça e Segurança Pública;Santiago (Chile);12/09/2023 - 12:25;Brasília;12/09/2023 - 16:35;Serviço/Segurança;12;
Ministro dos Transportes;Recife;11/09/2023 - 21:55;Brasília;12/09/2023 - 00:20;Serviço;13;
Ministro das Minas e Energia;Brasília;12/09/2023 - 07:55;São Paulo (Congonhas);12/09/2023 - 09:30;Serviço;12;
Ministro das Minas e Energia;São Paulo (Congonhas);12/09/2023 - 13:40;Brasília;12/09/2023 - 15:05;"Serviço 
";12;
Ministro da Fazenda;Brasília;13/09/2023 - 16:40;São Paulo (Congonhas);13/09/2023 - 18:10;Serviço;12;
À Disposição do Ministério da Defesa;Brasília;14/09/2023 - 20:25;São Paulo (Congonhas);14/09/2023 - 21:45;Serviço/Segurança ;1;
Ministro da Agricultura e Pecuária;Brasília;14/09/2023 - 12:20;Uberlândia;14/09/2023 - 12:55;Serviço;14;
Ministro da Agricultura e Pecuária;Uberlândia;14/09/2023 - 20:20;Brasília;14/09/2023 - 21:05;"Serviço 
";14;
Ministro das Comunicações;Brasília;14/09/2023 - 07:40;Londrina;14/09/2023 - 09:10;"Serviço 
";4;
Ministro das Comunicações;Londrina;14/09/2023 - 14:10;Brasília;14/09/2023 - 16:00;Serviço;4;
Presidente do Congresso Nacional;Brasília;15/09/2023 - 08:30;Belo Horizonte (Pampulha);15/09/2023 - 09:25;Serviço/Segurança ;12;
Presidente do Congresso Nacional;Belo Horizonte (Pampulha);15/09/2023 - 21:10;Brasília;15/09/2023 - 22:20;Serviço/Segurança ;12;
Ministro da Agricultura e Pecuária;Brasília;15/09/2023 - 06:25;Petrolina;15/09/2023 - 08:00;Serviço;36;VOO COMPARTILHADO
Ministro do Desenvolvimento e Assistência Social, Família e Combate à Fome;Brasília;15/09/2023 - 06:25;Petrolina;15/09/2023 - 08:00;Serviço;16;VOO COMPARTILHADO
