AUTORIDADES APOIADAS;ORIGEM;"DECOLAGEM
(H. LOCAL)";DESTINO;"POUSO
(H. LOCAL)";MOTIVO;PREVISÃO DE PASSAGEIROS;
Ministro da Fazenda;São Paulo (Congonhas);01/07/2024 - 06:40;Brasília;01/07/2024 - 08:15;Serviço;9;
Ministro dos Transportes;Maceió;01/07/2024 - 08:10;Feira De Santana;01/07/2024 - 08:55;Serviço;2;
Ministro dos Transportes;Feira De Santana;01/07/2024 - 15:40;Brasília;01/07/2024 - 17:20;Serviço;10;
Ministra da Saúde;Brasília;01/07/2024 - 09:30;Goiânia;01/07/2024 - 10:05;Serviço;9;
Ministra da Saúde;Goiânia;01/07/2024 - 13:20;Salvador;01/07/2024 - 15:05;Serviço;9;
Ministro das Minas e Energia;Brasília;01/07/2024 - 12:35;Salvador;01/07/2024 - 14:10;Serviço;9;
Ministro das Minas e Energia;Salvador;01/07/2024 - 20:35;Brasília;01/07/2024 - 22:25;Serviço;11;
Presidente da Câmara dos Deputados;Maceió;02/07/2024 - 19:00;Brasília;02/07/2024 - 21:25;Segurança;9;
Ministro da Educação;Salvador;01/07/2024 - 20:40;Fortaleza;01/07/2024 - 22:10;Serviço;4;
Ministro da Educação;Fortaleza;02/07/2024 - 13:10;Recife;02/07/2024 - 14:15;Serviço;8;
Ministra da Gestão e Inovação em Serviços Públicos;Brasília;01/07/2024 - 09:10;Natal (Parnamirim);01/07/2024 - 11:45;Serviço;9;
Ministra da Gestão e Inovação em Serviços Públicos;Natal (Parnamirim);01/07/2024 - 17:35;João Pessoa;01/07/2024 - 17:55;Serviço;10;
Ministra da Gestão e Inovação em Serviços Públicos;João Pessoa;02/07/2024 - 16:05;Brasília;02/07/2024 - 18:45;Serviço;12;
Ministro da Advocacia Geral da União;Brasília;02/07/2024 - 10:45;Recife;02/07/2024 - 13:05;Serviço;5;
À Disposição do Ministério da Defesa;Maceió;03/07/2024 - 16:55;Brasília;03/07/2024 - 19:10;Serviço;42;
Ministra da Cultura;Brasília;03/07/2024 - 07:45;Canoas;03/07/2024 - 10:15;Serviço;36;VOO COMPARTILHADO
Ministro Integração do Desenvolvimento Regional;Brasília;03/07/2024 - 07:45;Canoas;03/07/2024 - 10:15;Serviço;5;VOO COMPARTILHADO
Secretário Extraordinário da Presidência da República;Brasília;03/07/2024 - 07:45;Canoas;03/07/2024 - 10:15;Serviço;8;VOO COMPARTILHADO
Ministra da Cultura;Canoas;03/07/2024 - 19:00;Brasília;03/07/2024 - 21:10;Serviço;20;
Ministro das Minas e Energia;Brasília;03/07/2024 - 07:30;Lençóis;03/07/2024 - 08:40;Serviço;4;
Ministro das Minas e Energia;Lençóis;03/07/2024 - 13:45;Brasília;03/07/2024 - 15:00;Serviço;4;
Ministro das Comunicações;Brasília;03/07/2024 - 06:55;São Paulo (Congonhas);03/07/2024 - 08:35;Serviço;6;
Ministro das Comunicações;São Paulo (Congonhas);03/07/2024 - 12:10;São José Dos Campos;03/07/2024 - 12:30;Serviço;10;
Ministro das Comunicações;São José Dos Campos;03/07/2024 - 17:25;Brasília;03/07/2024 - 18:45;Serviço;11;
Ministro da Fazenda;Brasília;04/07/2024 - 19:20;São Paulo (Congonhas) ;04/07/2024 - 20:55;Serviço;12;VOO COMPARTILHADO
Ministro de Portos e Aeroportos;Brasília;04/07/2024 - 19:20;São Paulo (Congonhas) ;04/07/2024 - 20:55;Serviço;12;VOO COMPARTILHADO
Ministro do Desenvolvimento e Assistência Social, Família e Combate à Fome;Brasília;04/07/2024 - 07:05;Fortaleza;04/07/2024 - 09:25;Serviço;5;
Ministro do Desenvolvimento e Assistência Social, Família e Combate à Fome;Fortaleza;04/07/2024 - 14:40;Brasília;04/07/2024 - 17:00;Serviço;6;
Ministra da Ciência, Tecnologia e Inovações;Campinas;04/07/2024 - 18:25;Recife;04/07/2024 - 21:25;Serviço;3;
Ministro dos Esportes;Brasília;04/07/2024 - 06:55;Belém;04/07/2024 - 09:15;Serviço;5;VOO COMPARTILHADO
Ministro do Turismo;Brasília;04/07/2024 - 06:55;Belém;04/07/2024 - 09:15;Serviço;12;VOO COMPARTILHADO
