Ministro da Ciência,  Tecnologia e Inovação;São Paulo (Congonhas);01/02/2021 - 14:15;Brasília;01/02/2021 - 15:45;Serviço;5;
Ministro da Infraestrutura;Brasília;02/02/2021 - 09:35;Uberlândia;02/02/2021 - 10:15:00;Serviço;20;
Ministro da Infraestrutura;Uberlândia;02/02/2021 - 15:10;Brasília;02/02/2021 - 15:55:00;Serviço;20;
Ministro da Cidadania;Brasília;03/02/2021 - 06:10;Porto Alegre;03/02/2021 - 08:40;Serviço;8;
Ministro da Cidadania;Porto Alegre;03/02/2021 - 20:35;Brasília;03/02/2021 - 23:05;Serviço;8;
Presidente do Supremo Tribunal Federal;Brasília;04/02/2021 - 18:50;Rio de Janeiro (Santos Dumont);04/02/2021 - 20:30;Segurança/Serviço;7;
Ministro da Defesa;Brasília;30/01/2021 - 08:20;Boa Vista;30/01/2021 - 10:35;Serviço;11;
Ministro da Defesa;Boa Vista;30/01/2021 - 11:20;San Juan (Porto Rico);30/01/2021 - 14:25;Serviço;11;
Ministro da Defesa;San Juan (Porto Rico);30/01/2021 - 16:10;Alexandria (EUA);30/01/2021 - 19:00;Serviço;11;
Ministro da Defesa;Alexandria (EUA);03/02/2021 - 15:40;San Juan (Porto Rico);03/02/2021 - 21:20;Serviço;11;
Ministro da Defesa;San Juan (Porto Rico);03/02/2021 - 23:00;Boa Vista;04/02/2021 - 01:50;Serviço;11;
Ministro da Defesa;Boa Vista;04/02/2021 - 02:35;Brasília;04/02/2021 - 07:10;Serviço;11;
Ministro do Turismo;Brasília;04/02/2021 - 05:45;Maceió;04/02/2021 - 08:00;Serviço;12;
Presidente do Congresso Nacional;Brasília;05/02/2021 - 07:45;Belo Horizonte (Pampulha);05/02/2021 - 08:50;Segurança/Serviço;12;
Ministro da Saúde;Brasília;05/02/2021 - 10:30;Rio de Janeiro (Galeão);05/02/2021 - 11:55;Serviço;11;
Ministro da Ciência,  Tecnologia e Inovação;Brasília;05/02/2021 - 11:15;São Luís;05/02/2021 - 13:25;Serviço;25;
Ministro da Ciência,  Tecnologia e Inovação;São Luís;05/02/2021 - 19:15;Brasília;05/02/2021 - 21:45;Serviço;25;
Presidente da Câmara dos Deputados;Brasília;06/02/2021 - 09:10;Maceió;06/02/2021 - 11:20;Segurança/Serviço;7;
Ministro das Relações Exteriores;Brasília;06/02/2021 - 16:00;Rio de Janeiro (Galeão);06/02/2021 - 17:20;Serviço;3;
Ministro das Relações Exteriores;Rio de Janeiro (Galeão);06/02/2021 - 22:00;Brasília;06/02/2021 - 23:40;Serviço;6;
Ministro da Saúde;Rio de Janeiro (Santos Dumont);07/02/2021 - 17:15;Brasília;07/02/2021 - 19:00;Serviço;11;
Presidente do Congresso Nacional;Belo Horizonte (Confins);08/02/2021 - 07:35;Brasília;08/02/2021 - 08:45;Segurança;12;
Presidente da Câmara dos Deputados;Maceió;08/02/2021 - 12:20;Brasília;08/02/2021 - 14:40;Serviço;7; 
Presidente do Supremo Tribunal Federal;Rio de Janeiro (Santos Dumont);08/02/2021 - 17:00;Brasília;08/02/2021 - 18:30;Serviço;5;AERONAVE COMPARTILHADA COM O COMANDANTE DA MARINHA DO BRASIL
Advogado-Geral da União;Brasília;08/02/2021 - 09:50;São Paulo (Congonhas);08/02/2021 - 11:10;Serviço;5; 
Advogado-Geral da União;São Paulo (Congonhas);08/02/2021 - 15:40;Brasília;08/02/2021 - 17:10;Serviço;5; 
Comandante da Marinha;Rio de Janeiro (Santos Dumont);08/02/2021 - 17:00;Brasília;08/02/2021 - 18:30;Serviço;6;AERONAVE COMPARTILHADA COM O PRESIDENTE DO SUPREMO TRIBUNAL FEDERAL
Ministro do Meio Ambiente;Guarulhos;08/02/2021 - 23:50;Brasília;09/02/2021 - 01:10;Serviço;4;
Ministro da Infraestrutura;Brasília;11/02/2021 - 07:45;Congonhas;11/02/2021 - 09:45;Serviço;20;
Ministro da Infraestrutura;Congonhas;11/02/2021 - 11:20;Campos;11/02/2021 - 12:45;Serviço;20;
Ministro da Infraestrutura;Campos;11/02/2021 - 17:50;Brasília;11/02/2021 - 20:20;Serviço;20;
Ministro da Cidadania;Brasília;11/02/2021 - 05:30;Pelotas;11/02/2021 - 08:15;Serviço;10;
Ministro da Cidadania;Pelotas;11/02/2021 - 08:30;Bagé;11/02/2021 - 09:15;Serviço;10;
Ministro da Cidadania;Bagé;11/02/2021 - 11:55;Pelotas;11/02/2021 - 12:35;Serviço;10;
Ministro da Cidadania;Pelotas;11/02/2021 - 12:45;Canoas;11/02/2021 - 13:15;Serviço;10;
Ministro da Cidadania;Canoas;11/02/2021 - 19:20;Brasília;11/02/2021 - 21:50;Serviço;10;
Presidente do Supremo Tribunal Federal;Brasília;12/02/2021 - 11:55;Rio de Janeiro (Santos Dumont);12/02/2021 - 13:20;Segurança/Segurança;4;
Ministro da Justiça e Segurança Pública;Brasília;11/02/2021 - 06:15;Fortaleza;11/02/2021 - 08:35;Serviço;14;
Ministro da Justiça e Segurança Pública;Fortaleza;12/02/2021 - 07:00;Natal;12/02/2021 - 07:50;Serviço;14;
Ministro da Justiça e Segurança Pública;Natal;12/02/2021 - 21:15;Brasília;13/02/2021 - 00:05;Serviço;14;
Ministro da Infraestrutura;Brasília;12/02/2021 - 07:25;Paulo Afonso;12/02/2021 - 09:15;Serviço;14;
Ministro da Infraestrutura;Paulo Afonso;12/02/2021 - 15:45;Brasília;12/02/2021 - 17:45;Serviço;14;
Presidente do Congresso Nacional;Brasília;13/02/2021 - 11:05;Belo Horizonte (Pampulha);13/02/2021 - 12:05;Segurança/Segurança;12;
Presidente da Câmara dos Deputados;Brasília;13/02/2021 - 08:00;Maceió;13/02/2021 - 10:05;Segurança/Segurança;5;
Ministro das Comunicações;Brasília;02/02/2021 - 14:40;São Gonçalo do Amarante;02/02/2021 - 17:10;Serviço;8;
Ministro das Comunicações;São Gonçalo do Amarante;02/02/2021 - 18:30;Praia (Cabo Verde);03/02/2021 - 00:10;Serviço;8;
Ministro das Comunicações;Praia (Cabo Verde);03/02/2021 - 01:10;Valência (Espanha);03/02/2021 - 07:35;Serviço;8;
Ministro das Comunicações;Valência (Espanha);03/02/2021 - 08:55;Estocolmo (Suécia);03/02/2021 - 12:20;Serviço;8;
Ministro das Comunicações;Estocolmo (Suécia);04/02/2021 - 19:15;Helsinque (Finlândia);04/02/2021 - 21:00;Serviço;10;
Ministro das Comunicações;Helsinque (Finlândia);07/02/2021 - 18:00;Astana (Cazaquistão);08/02/2021 - 02:10;Serviço;10;
Ministro das Comunicações;Astana (Cazaquistão);08/02/2021 - 03:25;Seul (Coreia do Sul);08/02/2021 - 12:55;Serviço;10;
Ministro das Comunicações;Seul (Coreia do Sul);08/02/2021 - 13:50;Tóqio (Japão);08/02/2021 - 15:25;Serviço;10;
Ministro das Comunicações;Tóqio (Japão);09/02/2021 - 14:55;Guangzhou (China);09/02/2021 - 21:10;Serviço;10;
Ministro das Comunicações;Guangzhou (China);09/02/2021 - 22:45;Shenzhen (China);09/02/2021 - 23:20;Serviço;10;
Ministro das Comunicações;Shenzhen (China);10/02/2021 - 20:55;Calcutá (Índia);11/02/2021 - 00:15;Serviço;10;
Ministro das Comunicações;Calcutá (Índia);11/02/2021 - 01:35;Abu Dhabi (Emirados Árabes Unidos);11/02/2021 - 06:30;Serviço;10;
Ministro das Comunicações;Abu Dhabi (Emirados Árabes Unidos);12/02/2021 - 05:05;Atenas (Grécia);12/02/2021 - 08:50;Serviço;10;
Ministro das Comunicações;Atenas (Grécia);12/02/2021 - 09:50;Argel (Argélia);12/02/2021 - 12:00;Serviço;10;
Ministro das Comunicações;Argel (Argélia);13/02/2021 - 03:25;Praia (Cabo Verde);13/02/2021 - 07:05;Serviço;10;
Ministro das Comunicações;Praia (Cabo Verde);13/02/2021 - 07:50;Salvador;13/02/2021 - 11:10;Serviço;10;
Ministro das Comunicações;Salvador;13/02/2021 - 11:35;Catarina;13/02/2021 - 14:05;Serviço;10;
Ministro da Educação;Brasília;15/02/2021 - 09:25;Bauru;15/02/2021 - 10:35;Serviço;6;
Ministro da Educação;Bauru;15/02/2021 - 19:00;Brasília;15/02/2021 - 20:10;Serviço;6;
Presidente do Supremo Tribunal Federal;Rio de Janeiro (Santos Dumont);16/02/2021 - 16:25;Brasília;16/02/2021 - 17:55;Segurança/Serviço;5;
Presidente do Congresso Nacional;Belo Horizonte (Pampulha);17/02/2021 - 11:05;Brasília;17/02/2021 - 12:20;Segurança/Serviço;12;
Presidente da Câmara dos Deputados;Maceió;17/02/2021 - 09:05;Brasília;17/02/2021 - 11:30;Serviço;5;
Ministro da Saúde;Brasília;18/02/2021 - 09:40;Santarém;18/02/2021 - 12:05;Serviço;11;
Ministro da Saúde;Santarém;18/02/2021 - 17:35;Brasília;18/02/2021 - 20:05;Serviço;11;
Ministro da Justiça e Segurança Pública;Brasília;18/02/2021 - 06:05;Curitiba;18/02/2021 - 07:50;Serviço;18; 
Presidente do Supremo Tribunal Federal;Brasília;19/02/2021 - 15:10;Rio de Janeiro (Santos Dumont);19/02/2021 - 16:40;Segurança/Serviço;5;
Ministro da Justiça e Segurança Pública;Curitiba;19/02/2021 - 07:00;Vitória;19/02/2021 - 08:35;Serviço;18;
Ministro da Justiça e Segurança Pública;Vitória;19/02/2021 - 19:00;Brasília;19/02/2021 - 20:35;Serviço;18;
Comandante do Exército;Brasília;19/02/2021 - 15:15;Campinas;19/02/2021 - 16:35;Serviço;20;
Comandante do Exército;Campinas;20/02/2021 - 13:00;Brasília;20/02/2021 - 14:30;Serviço;20;
Presidente do Supremo Tribunal Federal;Rio de Janeiro (Santos Dumont);22/02/2021 - 16:45;Brasília;22/02/2021 - 18:15:00;Segurança/Serviço;4; 
Ministro da Educação;Guarulhos;22/02/2021 - 23:40;Brasília;23/02/2021 - 01:00:00;Serviço;6;
Ministro do Desenvolvimento Regional;São Paulo (Congonhas);22/02/2021 - 19:00;Natal;22/02/2021 - 22:10:00;Segurança;1;
Ministro do Desenvolvimento Regional;Natal;23/02/2021 - 17:45;Brasília;23/02/2021 - 20:30:00;Segurança;1;
Ministro das Minas e Energia;Brasília;24/02/2021 - 10:10;Foz Do Iguaçu;24/02/2021 - 12:10;Serviço;20;
Presidente da Câmara dos Deputados;Brasília;25/02/2021 - 18:10;São Paulo (Congonhas);25/02/2021 - 19:35;Serviço;7;
Ministro da Defesa;Brasília;25/02/2021 - 14:40;Rio de Janeiro (Santos Dumont);25/02/2021 - 16:10;Serviço;14;
Ministro do Desenvolvimento Regional;Brasília;25/02/2021 - 08:20;Belo Horizonte (Pampulha);25/02/2021 - 09:20;Serviço;7;
Presidente do Congresso Nacional;Brasília;26/02/2021 - 18:30;Belo Horizonte (Pampulha);26/02/2021 - 19:30;Segurança/Serviço;12;
Presidente do Congresso Nacional;Belo Horizonte (Pampulha);28/02/2021 - 16:40;Brasília;28/02/2021 - 17:50;Segurança/Serviço;12;
Presidente da Câmara dos Deputados;Brasília;26/02/2021 - 18:30;São Paulo (Congonhas);26/02/2021 - 19:50;Serviço;3;
Presidente da Câmara dos Deputados;São Paulo (Congonhas);27/02/2021 - 09:15;Brasília;27/02/2021 - 10:35;Serviço;3;
Presidente do Supremo Tribunal Federal;Brasília;26/02/2021 - 14:25;Rio de Janeiro (Santos Dumont);26/02/2021 - 15:55;Segurança/Serviço;5;
Ministro da Defesa;Rio de Janeiro (Santos Dumont);27/02/2021 - 08:10;Brasília;27/02/2021 - 09:55;Serviço;14;
Ministro da Saúde;Brasília;26/02/2021 - 08:35;Campinas;26/02/2021 - 09:55;Serviço;14;
Ministro das Minas e Energia;Foz Do Iguaçu;26/02/2021 - 12:30;Brasília;26/02/2021 - 14:25;Serviço;24;
Ministro do Turismo;Brasília;28/02/2021 - 15:25;Rio de Janeiro (Santos Dumont);28/02/2021 - 17:00;Serviço;14;
Ministro do Desenvolvimento Regional;Belo Horizonte (Pampulha);26/02/2021 - 20:15;Brasília;26/02/2021 - 21:35;Serviço;2;
