Ministro da Saúde;Brasília;01/12/2022 - 07:45;São Paulo (Congonhas);01/12/2022 - 09:20;Serviço ;10;;
Ministro da Saúde;São Paulo (Congonhas);01/12/2022 - 14:30;Curitiba;01/12/2022 - 15:10;Serviço ;10;;
Ministro da Saúde;Curitiba;01/12/2022 - 19:50;Brasília;01/12/2022 - 21:30;Serviço ;10;;
Ministro da Ciência, Tecnologia e Inovação;Brasília;01/12/2022 - 06:30;Campo Grande;01/12/2022 - 06:55;Serviço ;7;;
Ministro da Ciência, Tecnologia e Inovação;Campo Grande;01/12/2022 - 11:25;São Paulo (Congonhas);01/12/2022 - 13:50;Serviço ;7;;
Ministro da Ciência, Tecnologia e Inovação;São Paulo (Congonhas);01/12/2022 - 16:20;Brasília;01/12/2022 - 17:50;Serviço ;7;;
Presidente da Câmara dos Deputados;Brasília;02/12/2022 - 12:10;Maceió;02/12/2022 - 14:10;Serviço/Segurança ;9;;
Presidente da Câmara dos Deputados;Maceió;03/12/2022 - 15:35;Brasília;03/12/2022 - 17:50;Serviço/Segurança ;9;;
Comandante da Marinha;Brasília;01/12/2022 - 09:00;Guarujá;01/12/2022 - 11:05;Serviço ;14;;
Comandante da Marinha;Guarujá;02/12/2022 - 09:05;Rio de Janeiro (Santos Dumont);02/12/2022 - 10:05;Serviço ;14;;
Comandante da Marinha;Rio de Janeiro (Santos Dumont);03/12/2022 - 16:30;Brasília;03/12/2022 - 18:40;Serviço ;14;;
Comandante do Exército;Brasília;03/12/2022 - 08:50;Varginha;03/12/2022 - 10:00;Serviço ;12;;
Comandante do Exército;Varginha;03/12/2022 - 14:10;Brasília;03/12/2022 - 15:30;Serviço ;12;;
Presidente do Congresso Nacional;Brasília;03/12/2022 - 14:35;Belo Horizonte (Pampulha);03/12/2022 - 15:35;Serviço/Segurança ;8;;
Presidente do Congresso Nacional;Belo Horizonte (Pampulha);04/12/2022 - 17:05;Brasília;04/12/2022 - 18:05;Serviço/Segurança ;8;;
Presidente da Câmara dos Deputados;Brasília;03/12/2022 - 21:30;Cuiabá;03/12/2022 - 23:00;Serviço/Segurança ;5;;
Presidente da Câmara dos Deputados;Cuiabá;04/12/2022 - 01:30;Brasília;04/12/2022 - 03:50;Serviço/Segurança ;5;;
Ministro das Relações Exteriores;Brasília;04/12/2022 - 14:35;Montevideo (Uruguai);04/12/2022 - 17:45;Serviço ;5;;
Ministro da Saúde;Brasília;02/12/2022 - 12:00;João Pessoa;02/12/2022 - 14:20;Serviço ;10;;
Ministro da Saúde;João Pessoa;04/12/2022 - 17:40;Brasília;04/12/2022 - 20:10;Serviço ;10;;
