Presidente do Supremo Tribunal Federal;São Paulo (Congonhas);01/02/2020 - 17:50;Brasília;01/02/2020 - 19:15;Segurança/Serviço;12
Presidente da Câmara dos Deputados;Rio de Janeiro (Santos Dumont);02/02/2020 - 12:55;Brasília;02/02/2020 - 14:25;Serviço;9
Ministro do Meio Ambiente;Manaus (Eduardo Gomes);02/02/2020 - 13:25;São Paulo (Congonhas);02/02/2020 - 18:45;Serviço;10
À disposição do Ministério da Defesa;Brasília;03/02/2020 - 06:10;São Paulo (Congonhas);03/02/2020 - 07:40;Serviço;12
Ministro das Relações Exteriores;Brasília;03/02/2020 - 08:25;Assunção (Paraguai);03/02/2020 - 10:35;Serviço;7
Ministro das Relações Exteriores;Assunção (Paraguai);03/02/2020 - 18:30;Brasília;03/02/2020 - 20:40;Serviço;7
Ministro da Ciência, Tecnologia, Inovações e Comunicações;Brasília;03/02/2020 - 07:35;Foz Do Iguaçu;03/02/2020 - 09:30;Serviço;10
Ministro da Ciência, Tecnologia, Inovações e Comunicações;Foz Do Iguaçu;03/02/2020 - 17:35;Brasília;03/02/2020 - 19:25;Serviço;10
Comandante da Marinha;São Paulo (Congonhas);03/02/2020 - 15:45;Brasília;03/02/2020 - 17:10;Serviço;14
Presidente do Supremo Tribunal Federal;Brasília;03/02/2020 - 18:00;São Paulo (Congonhas);03/02/2020 - 19:25;Serviço/Segurança;12
Presidente do Supremo Tribunal Federal;São Paulo (Congonhas);04/02/2020 - 11:55;Brasília;04/02/2020 - 13:25;Serviço/Segurança;12
Presidente do Congresso Nacional;Brasília;03/02/2020 - 18:15;Macapá;03/02/2020 - 21:00;Serviço/Segurança;13
Presidente do Congresso Nacional;Macapá;05/02/2020 - 08:10;Brasília;05/02/2020 - 11:00;Serviço/Segurança;13
Presidente da Câmara dos Deputados;Brasília;07/02/2020 - 10:20;Rio de Janeiro (Santos Dumont);07/02/2020 - 11:45;Residência;9
Presidente da Câmara dos Deputados;Rio de Janeiro (Santos Dumont);07/02/2020 - 18:10;Brasília;07/02/2020 - 19:45;Serviço;9
Ministro da Defesa;Brasília;07/02/2020 - 12:05;Anápolis;07/02/2020 - 12:30;Serviço;27
Ministro da Defesa;Anápolis;07/02/2020 - 15:30;Brasília;07/02/2020 - 15:50;Serviço;26
Ministro das Relações Exteriores;Brasília;05/02/2020 - 07:15;Fort-de-France(França);05/02/2020 - 11:25;Serviço;6
Ministro das Relações Exteriores;Fort-de-France(França);05/02/2020 - 12:35;Washington (EUA);05/02/2020 - 16:30;Serviço;6
Ministro das Relações Exteriores;Washington (EUA);07/02/2020 - 10:40;Fort-de-France(França);07/02/2020 - 16:30;Serviço;3
Ministro das Relações Exteriores;Fort-de-France(França);07/02/2020 - 17:40;Brasília;07/02/2020 - 23:45;Serviço;3
Ministro da Cidadania;Brasília;07/02/2020 - 08:30;Curitiba;07/02/2020 - 10:05;Serviço;14
