Comandante do Exército;Salvador;01/07/2020 - 15:40;Brasília;01/07/2020 - 17:25;Serviço;14
Presidente da Câmara dos Deputados;Brasília;02/07/2020 - 05:40;Recife;02/07/2020 - 08:05;Serviço;4
Presidente da Câmara dos Deputados;Recife;02/07/2020 - 13:05;Brasília;02/07/2020 - 15:35;Serviço;6
Ministro da Defesa;Brasília;01/07/2020 - 07:30;Boa Vista;01/07/2020 - 09:55;Serviço;12
Ministro da Defesa;Boa Vista;01/07/2020 - 10:30;Surucuru;01/07/2020 - 11:40;Serviço;8
Ministro da Defesa;Surucuru;01/07/2020 - 13:45;Boa Vista;01/07/2020 - 15:10;Serviço;8
Ministro da Defesa;Boa Vista;01/07/2020 - 18:00;Porto Velho;01/07/2020 - 19:55;Serviço;12
Ministro da Defesa;Porto Velho;02/07/2020 - 13:00;Brasília;02/07/2020 - 16:30;Serviço;12
Comandante da Marinha;Brasília;02/07/2020 - 06:20;Natal;02/07/2020 - 08:50;Serviço;6
Comandante da Marinha;Natal;02/07/2020 - 13:00;Salvador;02/07/2020 - 14:20;Serviço;6
Comandante da Marinha;Salvador;02/07/2020 - 19:25;Brasília;02/07/2020 - 21:10;Serviço;6
Comandante da Aeronáutica;Brasília;02/07/2020 - 10:30;Rio de Janeiro (Santos Dumont);02/07/2020 - 11:50;Serviço;20
Comandante da Aeronáutica;Rio de Janeiro (Santos Dumont);02/07/2020 - 16:35;Recife;02/07/2020 - 19:15;Serviço;20
Comandante da Aeronáutica;Recife;03/07/2020 - 12:25;Brasília;03/07/2020 - 14:55;Serviço;19
Presidente do Congresso Nacional;Brasília;04/07/2020 - 09:15;São Paulo (Congonhas);04/07/2020 - 10:35;Serviço/Segurança;8
Presidente do Congresso Nacional;São Paulo (Congonhas);04/07/2020 - 17:15;Brasília;04/07/2020 - 18:40;Serviço/Segurança;8
Presidente da Câmara dos Deputados;Brasília;04/07/2020 - 14:15;Rio de Janeiro (Santos Dumont);04/07/2020 - 15:40;Segurança;7
Ministro da Infraestrutura;Brasília;06/07/2020 - 08:05;Jaguaruna;06/07/2020 - 10:15;Serviço;20
Ministro da Infraestrutura;Jaguaruna;06/07/2020 - 19:00;Brasília;06/07/2020 - 21:10;Serviço;20
Ministro da Ciência,  Tecnologia e Inovação;Bauru;06/07/2020 - 20:40;Brasília;06/07/2020 - 21:50;Serviço;11
Ministro do Meio Ambiente;Belo Horizonte (Pampulha);06/07/2020 - 14:45;Brasília;06/07/2020 - 15:55;Serviço;4
Presidente da Câmara dos Deputados;Rio de Janeiro (Galeão);06/07/2020 - 22:30;Brasília;07/07/2020 - 00:00;Segurança;7
Comandante da Aeronáutica;Brasília;07/07/2020 - 06:50;São Paulo (Congonhas);07/07/2020 - 08:20;Serviço;7
