Comandante do Exército;Canoas;04/05/2020 - 11:55;Brasília;04/05/2020 - 14:05;Serviço;14
Ministro da Saúde;Brasília;03/05/2020 - 15:20;Manaus (Eduardo Gomes);03/05/2020 - 17:20;Serviço;10
Ministro da Saúde;Manaus (Eduardo Gomes);05/05/2020 - 09:25;Brasília;05/05/2020 - 12:55;Serviço;10
Ministro da Saúde;Brasília;08/05/2020 - 10:05;Rio de Janeiro (Galeão);08/05/2020 - 11:20;Serviço;12
Comandante da Marinha;Brasília;08/05/2020 - 07:40;Rio de Janeiro (Santos Dumont);08/05/2020 - 09:00;Serviço;6
Comandante da Marinha;Rio de Janeiro (Santos Dumont);08/05/2020 - 18:05;Brasília;08/05/2020 - 19:50;Serviço;6
Presidente do Supremo Tribunal Federal;Brasília;10/05/2020 - 16:25;São Paulo (Congonhas);10/05/2020 - 17:50;Serviço/Segurança;12
Ministro da Saúde;Rio de Janeiro (Galeão);11/05/2020 - 10:15;Brasília;11/05/2020 - 11:50;Serviço;12
Presidente do Supremo Tribunal Federal;São Paulo (Congonhas);12/05/2020 - 10:30;Brasília;12/05/2020 - 11:50;Segurança/Serviço;12
Comandante da Marinha;Brasília;12/05/2020 - 08:05;Rio de Janeiro (Santos Dumont);12/05/2020 - 09:35;Serviço;6
Comandante da Marinha;Rio de Janeiro (Santos Dumont);12/05/2020 - 17:55;Brasília;12/05/2020 - 19:25;Serviço;6
Ministra da Mulher, da Família e dos Direitos Humanos;Brasília;14/05/2020 - 05:30;Teresina;14/05/2020 - 07:25;Serviço;13
Ministra da Mulher, da Família e dos Direitos Humanos;Teresina;14/05/2020 - 07:55;Floriano;14/05/2020 - 08:25;Serviço;14
Ministra da Mulher, da Família e dos Direitos Humanos;Floriano;14/05/2020 - 12:15;Teresina;14/05/2020 - 12:50;Serviço;14
Ministra da Mulher, da Família e dos Direitos Humanos;Teresina;14/05/2020 - 15:15;Brasília;14/05/2020 - 17:15;Serviço;14
Ministro da Ciência, Tecnologia, Inovações e Comunicações;Brasília;15/05/2020 - 07:10;Sorocaba;15/05/2020 - 08:35;Serviço;12
