Presidente do Congresso Nacional;Macapá;01/03/2020 - 16:05;Brasília;01/03/2020 - 18:50;Segurança/Serviço;20;
Presidente da Câmara dos Deputados;Brasília;22/02/2020 - 19:50;Ilha do Sal (Cabo Verde);23/02/2020 - 03:45;Serviço;10;
Presidente da Câmara dos Deputados;Ilha do Sal (Cabo Verde);23/02/2020 - 04:40;Paris (França);23/02/2020 - 12:05;Serviço;10;
Presidente da Câmara dos Deputados;Paris (França);26/02/2020 - 15:30;Madri (Espanha);26/02/2020 - 17:20;Serviço;11;
Presidente da Câmara dos Deputados;Madri (Espanha);02/03/2020 - 13:05;Praia (Cabo Verde);02/03/2020 - 16:00;Serviço;10;
Presidente da Câmara dos Deputados;Praia (Cabo Verde);02/03/2020 - 16:50;Brasília;02/03/2020 - 21:15;Serviço;10;
Ministro da Infraestrutura;Brasília;02/03/2020 - 09:00;São José Dos Campos;02/03/2020 - 10:15;Serviço;12;
Ministro da Infraestrutura;São José Dos Campos;02/03/2020 - 13:30;São Paulo (Congonhas);02/03/2020 - 14:00;Serviço;12;
Ministro da Infraestrutura;São Paulo (Congonhas);02/03/2020 - 19:20;Brasília;02/03/2020 - 20:55;Serviço;12;
Ministra da Agricultura, Pecuária e Abastecimento;Brasília;02/03/2020 - 06:05;Passo Fundo;02/03/2020 - 08:20;Serviço;14;
Ministra da Agricultura, Pecuária e Abastecimento;Passo Fundo;02/03/2020 - 14:20;Brasília;02/03/2020 - 16:25;Serviço;14;
Comandante do Exército;Canoas;01/03/2020 - 15:05;Passo Fundo;01/03/2020 - 15:55;Serviço;8;
Comandante do Exército;Passo Fundo;02/03/2020 - 08:50;Canoas;02/03/2020 - 09:35;Serviço;8;
Ministro do Meio Ambiente;Fernando De Noronha;03/03/2020 - 11:40;Petrolina;03/03/2020 - 12:20;Serviço;3;
Ministro do Meio Ambiente;Petrolina;03/03/2020 - 14:10;João Pessoa;03/03/2020 - 15:20;Serviço;3;
Ministro do Meio Ambiente;João Pessoa;03/03/2020 - 18:15;São Luís;03/03/2020 - 20:00;Serviço;3;
Ministro do Meio Ambiente;São Luís;04/03/2020 - 12:30;Brasília;04/03/2020 - 14:45;Serviço;3;
Presidente da Câmara dos Deputados;Brasília;05/03/2020 - 13:50;São Paulo (Congonhas);05/03/2020 - 15:10;Serviço;9;
