Ministro do Turismo;Brasília;01/10/2020 - 11:15;São Paulo (Congonhas);01/10/2020 - 12:45;Serviço;7;
Ministro do Desenvolvimento Regional;Brasília;01/10/2020 - 19:10;São Paulo (Congonhas);01/10/2020 - 20:35;Serviço;3;
Ministro da Infraestrutura;Brasília;02/10/2020 - 07:25;Porto Velho;02/10/2020 - 09:10;Serviço;20;
Ministro da Agricultura, Pecuária e Abastecimento;Brasília;02/10/2020 - 07:45;Canoas;02/10/2020 - 10:05;Serviço;12;
Ministro da Agricultura, Pecuária e Abastecimento;Canoas;02/10/2020 - 16:35;Brasília;02/10/2020 - 18:55;Serviço;12;
Ministro da Infraestrutura;Porto Velho;03/10/2020 - 08:10;Humaitá;03/10/2020 - 08:35;Serviço;20;
Ministro da Infraestrutura;Humaitá;03/10/2020 - 16:50;Porto Velho;03/10/2020 - 17:15;Serviço;20;
Ministro da Infraestrutura;Porto Velho;03/10/2020 - 18:15;Brasília;03/10/2020 - 22:15;Serviço;20;
Ministro do Meio Ambiente;Brasília;03/10/2020 - 08:15;Corumbá;03/10/2020 - 08:55;Serviço;10;
Ministro do Meio Ambiente;Corumbá;03/10/2020 - 14:05;Campo Grande;03/10/2020 - 14:45;Serviço;10;
Ministro do Meio Ambiente;Campo Grande;03/10/2020 - 15:20;São Paulo (Congonhas);03/10/2020 - 17:45;Serviço;10;
Presidente do Congresso Nacional;Brasília;04/10/2020 - 16:20;São Paulo (Congonhas);04/10/2020 - 17:45;Serviço/Segurança;12;
Presidente do Congresso Nacional;São Paulo (Congonhas);04/10/2020 - 22:45;Rio de Janeiro (Galeão);04/10/2020 - 23:25;Serviço/Segurança;12;
Ministro da Saúde;Manaus (Ponta Pelada);04/10/2020 - 17:50;Belo Horizonte (Pampulha);04/10/2020 - 22:30;Serviço;4;
Ministra da Mulher, da Família e dos Direitos Humanos.;Canoas;04/10/2020 - 17:15;Brasília;04/10/2020 - 19:35;Serviço;14;
Presidente do Congresso Nacional;Rio de Janeiro (Santos Dumont);05/10/2020 - 10:35;Brasília;05/10/2020 - 12:10;Serviço/Segurança;12;
Presidente do Supremo Tribunal Federal;Rio de Janeiro (Santos Dumont);05/10/2020 - 14:35;Brasília;05/10/2020 - 16:05;Serviço/Segurança;5;
Ministro da Infraestrutura;Brasília;05/10/2020 - 08:20;Vitória;05/10/2020 - 09:55;Serviço;14;
Ministro da Infraestrutura;Vitória;05/10/2020 - 18:55;Brasília;05/10/2020 - 20:25;Serviço;14;
Ministro da Saúde;Belo Horizonte (Pampulha);05/10/2020 - 17:00;Brasília;05/10/2020 - 18:10;Serviço;11;
Ministro das Comunicações;São Paulo (Congonhas);05/10/2020 - 18:15;Brasília;05/10/2020 - 19:45;Serviço;1;
Ministro da Ciência,  Tecnologia e Inovação;Brasília;05/10/2020 - 12:15;Rio de Janeiro (Galeão);05/10/2020 - 13:40;Serviço;11;
Ministro da Ciência,  Tecnologia e Inovação;Rio de Janeiro (Galeão);05/10/2020 - 20:35;Brasília;05/10/2020 - 22:05;Serviço;11;
Ministro da Defesa;Brasília;06/10/2020 - 07:50;Novo Progresso;06/10/2020 - 09:30;Serviço;14;
Ministro da Defesa;Novo Progresso;06/10/2020 - 13:20;Sinop;06/10/2020 - 12:55;Serviço;14;
Ministro da Defesa;Sinop;06/10/2020 - 16:30;Brasília;06/10/2020 - 19:00;Serviço;14;
Ministro da Ciência,  Tecnologia e Inovação;Brasília;06/10/2020 - 09:20;Belém;06/10/2020 - 11:40;Serviço;8;
Ministro da Ciência,  Tecnologia e Inovação;Belém;06/10/2020 - 20:00;Brasília;06/10/2020 - 22:25;Serviço;8;
Chefe do Estado-Maior Conjunto das Forças Armadas;Brasília;06/10/2020 - 16:30;Rio de Janeiro (Santos Dumont);06/10/2020 - 18:05;Serviço;8;
Comandante da Aeronáutica;Novo Progresso;06/10/2020 - 13:30;Brasília;06/10/2020 - 15:20;Serviço;4;
Presidente da Câmara dos Deputados;Brasília;07/10/2020 - 13:10;São Paulo (Congonhas);07/10/2020 - 14:45;Serviço;5;
Presidente da Câmara dos Deputados;São Paulo (Congonhas);08/10/2020 - 10:55;Rio de Janeiro (Santos Dumont);08/10/2020 - 11:35;Serviço;5;
Presidente da Câmara dos Deputados;Rio de Janeiro (Santos Dumont);08/10/2020 - 16:20;Brasília;08/10/2020 - 18:00;Serviço;7;
Presidente do Supremo Tribunal Federal;Brasília;08/10/2020 - 19:15;São Paulo (Congonhas);08/10/2020 - 20:40;Serviço/Segurança;6;
Ministro da Ciência,  Tecnologia e Inovação;Brasília;08/10/2020 - 07:40;Alcântara;08/10/2020 - 09:55;Serviço;40;
