Comandante da Aeronáutica;Brasília;31/08/2020 - 06:45;Natal;31/08/2020 - 09:45;Serviço;10
Comandante da Aeronáutica;Natal;31/08/2020 - 15:25;Campo Grande;31/08/2020 - 18:00;Serviço;9
Comandante da Aeronáutica;Campo Grande;01/09/2020 - 14:05;Brasília;01/09/2020 - 16:30;Serviço;11
À disposição do Comando da Aeronáutica;Rio de Janeiro (Santos Dumont);01/09/2020 - 09:15;Brasília;01/09/2020 - 10:50;Serviço;11
Comandante da Marinha;Brasília;02/09/2020 - 18:20;Rio de Janeiro (Santos Dumont);02/09/2020 - 19:50;Serviço;6
Presidente da Câmara dos Deputados;Brasília;02/09/2020 - 21:00;Recife;02/09/2020  - 23:30;Serviço;6
Presidente da Câmara dos Deputados;Recife;03/09/2020 - 15:45;Brasília;03/09/2020 - 18:10;Serviço;6
Ministro-Chefe da Casa Civil da Presidência da República;Brasília;03/09/2020 - 09:30;Rio de Janeiro (Santos Dumont);03/09/2020 - 10:55;Serviço;3
Ministro da Ciência,  Tecnologia e Inovação;Brasília;03/09/2020 - 09:05;São José Dos Campos;03/09/2020 - 10:20;Serviço;5
Ministro do Turismo;Brasília;03/09/2020 - 14:00;Belo Horizonte (Pampulha);03/09/2020 - 14:55;Serviço;20
Presidente da Câmara dos Deputados;Brasília;04/09/2020 - 10:35;Rio de Janeiro (Santos Dumont);04/09/2020 - 12:00;Serviço;8
Ministro-Chefe da Casa Civil da Presidência da República;Rio de Janeiro (Santos Dumont);04/09/2020 - 14:55;Brasília;04/09/2020 - 16:30;Serviço;3
Ministro da Infraestrutura;Brasília;05/09/2020 - 07:45;São Paulo (Congonhas);05/09/2020 - 09:05;Serviço;14
Ministro da Infraestrutura;São Paulo (Congonhas);05/09/2020 - 11:55;Brasília;05/09/2020 - 13:25;Serviço;14
Ministro do Turismo;Belo Horizonte (Pampulha);06/09/2020 - 21:35;Brasília;06/09/2020 - 22:45;Serviço;7
Comandante da Marinha;Rio de Janeiro (Santos Dumont);06/09/2020 - 20:25;Brasília;06/09/2020 - 22:00;Serviço;6
Presidente da Câmara dos Deputados;Rio de Janeiro (Santos Dumont);07/09/2020 - 18:25;Brasília;07/09/2020 - 20:05;Serviço;9
Ministro das Comunicações;São Paulo (Congonhas);07/09/2020 - 07:00;Brasília;07/09/2020 - 08:25;Serviço;1
Comandante da Marinha;Brasília;07/09/2020 - 13:45;Rio de Janeiro (Santos Dumont);07/09/2020 - 15:10;Serviço;6
Presidente da Câmara dos Deputados;Brasília;08/09/2020 - 16:50;São Paulo (Congonhas);08/09/2020 - 18:15;Serviço;3
Presidente da Câmara dos Deputados;São Paulo (Congonhas);09/09/2020 - 08:05;Brasília;09/09/2020 - 09:35;Serviço;5
Comandante da Marinha;Brasília;10/09/2020 - 21:00;Rio de Janeiro (Galeão);10/09/2020 - 22:20;Serviço;6
À disposição do Comando da Aeronáutica;Brasília;10/09/2020 - 17:50;Fortaleza;10/09/2020 - 20:20;Serviço;14
Presidente do Supremo Tribunal Federal;Brasília;11/09/2020 - 10:20;Rio de Janeiro (Santos Dumont);11/09/2020 - 11:50;Serviço/Segurança;8
