AUTORIDADES APOIADAS;ORIGEM;"DECOLAGEM
(H. LOCAL)";DESTINO;"POUSO
(H. LOCAL)";MOTIVO;PASSAGEIROS;
Ministro da Fazenda;Brasília;02/08/2025 - 07:35;São Paulo (Congonhas);02/08/2025 - 09:05;Segurança;3;
Ministro das Comunicações;Brasília;01/08/2025 - 09:55;Araçatuba;01/08/2025 - 11:10;Serviço;6;
Ministro das Comunicações;Araçatuba;01/08/2025 - 15:00;Brasília;01/08/2025 - 16:00;Serviço;7;
Ministro da Fazenda;São Paulo (Congonhas);04/08/2025 - 07:10;Brasília;04/08/2025 - 08:35;Segurança;10;
Presidente da Câmara dos Deputados;Brasília;04/08/2025 - 09:45;João Pessoa;04/08/2025 - 12:00;Segurança;10;
Presidente da Câmara dos Deputados (Compartilhado com o Ministro da Saúde);João Pessoa;05/08/2025 - 09:35;Patos;05/08/2025 - 10:10;Segurança;10;VOO COMPARTILHADO
Presidente da Câmara dos Deputados (Compartilhado com o Ministro da Saúde);Patos;05/08/2025 - 14:10;João Pessoa;05/08/2025 - 14:40;Segurança;12;VOO COMPARTILHADO
Presidente da Câmara dos Deputados;João Pessoa;05/08/2025 - 19:25;Brasília;05/08/2025 - 22:00;Segurança;10;
Ministro da Saúde (Compartilhado com o Presidente da Camara dos Deputados);João Pessoa;05/08/2025 - 09:35;Patos;05/08/2025 - 10:10;Serviço;4;VOO COMPARTILHADO
Ministro da Saúde (Compartilhado com o Presidente da Camara dos Deputados);Patos;05/08/2025 - 14:10;João Pessoa;05/08/2025 - 14:40;Serviço;4;VOO COMPARTILHADO
Ministro das Relações Exteriores;Brasília;05/08/2025 - 22:30;Rio de Janeiro (Galeão);05/08/2025 - 23:50;Serviço;4;
Ministro das Relações Exteriores;Rio de Janeiro (Santos Dumont);06/08/2025 - 15:20;Brasília;06/08/2025 - 16:55;Serviço;2;
Ministro da Fazenda;Brasília;07/08/2025 - 17:25;São Paulo (Congonhas);07/08/2025 - 18:55;Segurança;10;
Ministro das Relações Exteriores;Brasília;07/08/2025 - 13:20;Rio de Janeiro (Galeão);07/08/2025 - 14:40;Serviço;2;
Presidente do Congresso Nacional;Brasília;08/08/2025 - 18:15;Macapá;08/08/2025 - 20:45;Segurança;10;
Presidente do Congresso Nacional;Macapá;10/08/2025 - 17:10;Brasília;10/08/2025 - 19:50;Segurança;12;
Presidente do Supremo Tribunal Federal;Brasília;08/08/2025 - 10:35;Rio de Janeiro (Santos Dumont);08/08/2025 - 12:00;Segurança;8;
Presidente do Supremo Tribunal Federal;Rio de Janeiro (Santos Dumont);10/08/2025 - 17:20;Brasília;10/08/2025 - 18:55;Segurança;6;
Ministro da Justiça e Segurança Pública;Brasília;08/08/2025 - 13:45;São Paulo (Congonhas);08/08/2025 - 15:15;Segurança;5;
Ministra da Gestão e Inovação em Serviços Públicos;Brasília;08/08/2025 - 08:25;Rio de Janeiro (Santos Dumont);08/08/2025 - 09:50;Serviço;11;
Ministra da Igualdade Racial;Rio de Janeiro (Santos Dumont);09/08/2025 - 13:55;Brasília;09/08/2025 - 15:35;Serviço;10;
Presidente da Câmara dos Deputados;Brasília;11/08/2025 - 13:10;Patos;11/08/2025 - 15:25;Segurança;8;
Presidente da Câmara dos Deputados;Patos;11/08/2025 - 21:00;Brasília;11/08/2025 - 23:05;Segurança;11;
Ministro da Fazenda;São Paulo (Congonhas);11/08/2025 - 07:25;Brasília;11/08/2025 - 08:55;Segurança;7;
Ministro de Portos e Aeroportos;Recife;11/08/2025 - 08:20;Natal (Parnamirim);11/08/2025 - 09:00;Serviço;6;
Ministro de Portos e Aeroportos;Natal (Parnamirim);11/08/2025 - 12:35;Brasília;11/08/2025 - 15:05;Serviço;8;
À Disposição do Ministro da Defesa;São Paulo (Congonhas);12/08/2025 - 13:00;Brasília;12/08/2025 - 14:30;Segurança;2;VOO COMPARTILHADO
Ministro da Justiça e Segurança Pública;São Paulo (Congonhas);12/08/2025 - 13:00;Brasília;12/08/2025 - 14:30;Segurança;5;VOO COMPARTILHADO
Ministro das Comunicações;Brasília;13/08/2025 - 06:30;São Luís;13/08/2025 - 08:45;Serviço;6;
Ministro das Comunicações;São Luís;13/08/2025 - 14:15;Brasília;13/08/2025 - 16:35;Serviço;6;
Ministra da Igualdade Racial;Brasília;12/08/2025 - 07:15;Recife;12/08/2025 - 09:45;Serviço;9;
Ministra da Igualdade Racial;Recife;12/08/2025 - 17:00;Maceió;12/08/2025 - 17:35;Serviço;14;
