AUTORIDADES APOIADAS;ORIGEM;"DECOLAGEM
(H. LOCAL)";DESTINO;"POUSO
(H. LOCAL)";MOTIVO;PASSAGEIROS;
Ministro da Fazenda;São Paulo (Congonhas);02/02/2026 - 07:40;Brasília;02/02/2026 - 09:10;Serviço;7;
Ministro da Educação;Fortaleza;02/02/2026 - 08:40;Parnaíba;02/02/2026 - 09:25;Serviço;6;
Ministro da Educação;Parnaíba;02/02/2026 - 14:05;Brasília;02/02/2026 - 16:35;Serviço;9;
Ministro do Desenvolvimento e Assistência Social, Família e Combate à Fome;Boa Vista;02/02/2026 - 17:50;Brasília;02/02/2026 - 22:35;Serviço;5;
Ministro da Justiça e Segurança Pública;Salvador;02/02/2026 - 07:50;Brasília;02/02/2026 - 09:30;Segurança;12;
Ministro do Desenvolvimento Agrário;Brasília;04/02/2026 - 08:45;Canoas;04/02/2026 - 11:10;Serviço;29;
Ministro do Desenvolvimento Agrário;Canoas;04/02/2026 - 21:05;Brasília;04/02/2026 - 23:30;Serviço;21;
Ministro da Casa Civil da Presidência da República;Brasília;04/02/2026 - 22:45;Salvador;05/02/2026 - 00:25;Serviço;5;
Ministro dos Transportes;Brasília;05/02/2026 - 09:10;Maceió;05/02/2026 - 11:30;Serviço;13;VOO COMPARTILHADO
Ministro da Advocacia Geral da União;Brasília;05/02/2026 - 09:10;Maceió;05/02/2026 - 11:30;Serviço;13;VOO COMPARTILHADO
Ministro dos Transportes;Maceió;05/02/2026 - 18:45;Brasília;05/02/2026 - 20:50;Serviço;13;VOO COMPARTILHADO
Ministro da Advocacia Geral da União;Maceió;05/02/2026 - 18:45;Brasília;05/02/2026 - 20:50;Serviço;13;VOO COMPARTILHADO
Ministro da Educação;Brasília;03/02/2026 - 20:50;Cuiabá;03/02/2026 - 21:10;Serviço;9;
Ministro da Educação;Cuiabá;04/02/2026 - 15:10;Palmas;04/02/2026 - 17:55;Serviço;8;
Ministro da Educação;Palmas;05/02/2026 - 11:30;Araguaína;05/02/2026 - 12:15;Serviço;9;
Ministro da Educação;Araguaína;05/02/2026 - 15:30;Petrolina;05/02/2026 - 16:55;Serviço;8;
Ministro da Educação;Petrolina;05/02/2026 - 17:40;Salvador;05/02/2026 - 18:35;Serviço;7;
Presidente da Câmara dos Deputados;Brasília;05/02/2026 - 17:40;João Pessoa;05/02/2026 - 20:15;Segurança;12;
Ministro dos Transportes;Brasília;06/02/2026 - 08:45;Inocência;06/02/2026 - 08:50;Serviço;10;VOO COMPARTILHADO
Ministra do Planejamento e Orçamento;Brasília;06/02/2026 - 08:45;Inocência;06/02/2026 - 08:50;Serviço;10;VOO COMPARTILHADO
Ministro dos Transportes;Inocência;06/02/2026 - 13:35;Brasília;06/02/2026 - 15:35;Serviço;14;
Ministro de Minas e Energia;Brasília;05/02/2026 - 09:35;Ipatinga;05/02/2026 - 10:50;Serviço;9;
Ministro de Minas e Energia;Ipatinga;06/02/2026 - 17:35;Belo Horizonte (Pampulha);06/02/2026 - 18:15;Serviço;12;
Presidente do Congresso Nacional;Macapá;08/02/2026 - 12:25;Brasília;08/02/2026 - 15:00;Segurança;12;
Presidente da Câmara dos Deputados;João Pessoa;07/02/2026 - 14:50;Patos;07/02/2026 - 15:30;Segurança;12;
Presidente da Câmara dos Deputados;Patos;08/02/2026 - 10:00;Brasília;08/02/2026 - 12:15;Segurança;5;
Ministro da Justiça e Segurança Pública;Brasília;06/02/2026 - 16:55;Salvador;06/02/2026 - 18:35;Segurança;4;
Ministro dos Transportes;Brasília;09/02/2026 - 09:50;Rio de Janeiro (Santos Dumont);09/02/2026 - 11:25;Serviço;5;
Ministro dos Transportes;Rio de Janeiro (Santos Dumont);09/02/2026 - 16:15;Brasília;09/02/2026 - 17:50;Serviço;8;
Ministro das Cidades;São Paulo (Congonhas);09/02/2026 - 08:35;Rio de Janeiro (Santos Dumont);09/02/2026 -09:20;Serviço;1;
Ministro das Cidades;Rio de Janeiro (Santos Dumont);09/02/2026 - 13:30;Belo Horizonte (Pampulha);09/02/2026 - 14:20;Serviço;6;
Ministro das Cidades;Belo Horizonte (Pampulha);09/02/2026 - 18:40;São Paulo (Congonhas);09/02/2026 - 19:50;Serviço;4;
Ministro da Justiça e Segurança Pública;Salvador;09/02/2026 - 08:35;Brasília;09/02/2026 - 10:15;Segurança;8;
Ministro da Fazenda;São Paulo (Congonhas);10/02/2026 - 16:25;Brasília;10/02/2026 - 18:00;Serviço;7;VOO COMPARTILHADO
Ministro de Portos e Aeroportos;São Paulo (Congonhas);10/02/2026 - 16:25;Brasília;10/02/2026 - 18:00;Serviço;7;VOO COMPARTILHADO
Ministro dos Transportes;Brasília;10/02/2026 - 11:40;São Paulo (Congonhas);10/02/2026 - 13:10;Serviço;7;
Ministro dos Transportes;São Paulo (Congonhas);10/02/2026 - 18:00;Brasília;10/02/2026 - 19:50;Serviço;9;
À Disposição do Ministro da Defesa;São Paulo (Congonhas);11/02/2026 - 07:05;Brasília;11/02/2026 - 08:30;Segurança;2;
Ministro do Trabalho e Emprego;Brasília;11/02/2026 - 14:15;São Paulo (Congonhas);11/02/2026 - 15:45;Serviço;5;
Ministro do Trabalho e Emprego;São Paulo (Congonhas);11/02/2026 - 19:30;Brasília;11/02/2026 - 20:55;Serviço;11;
Ministro de Minas e Energia;Brasília;11/02/2026 - 08:15;São Paulo (Congonhas);11/02/2026 - 09:50;Serviço;7;
Ministro das Cidades;Brasília;11/02/2026 - 10:30;Porto Alegre;11/02/2026 - 12:55;Serviço;10;
Ministro das Cidades;Porto Alegre;11/02/2026 - 20:15;Brasília;11/02/2026 - 22:30;Serviço;8;
Ministro da Fazenda (Compartilhado com À Disposição do Ministro da Defesa);Brasília;12/02/2026 - 20:45;São Paulo (Congonhas);12/02/2026 - 22:15;Serviço;10;VOO COMPARTILHADO
Ministro da Educação;Brasília;09/02/2026 - 12:15;São Paulo (Guarulhos);09/02/2026 - 13:40;Serviço;6;
Ministro da Educação;São Paulo (Guarulhos);09/02/2026 - 18:45;Vitória;09/02/2026 - 20:05;Serviço;7;
Ministro da Educação;Vitória;11/02/2026 - 08:55;Belo Horizonte (Confins);11/02/2026 - 09:55;Serviço;7;
Ministro da Educação;Belo Horizonte (Confins);11/02/2026 - 17:55;Varginha;11/02/2026 - 18:35;Serviço;8;
Ministro da Educação;Varginha;12/02/2026 - 18:30;Brasília;12/02/2026 - 19:40;Serviço;6;
Presidente da Câmara dos Deputados;Brasília;12/02/2026 - 14:45;São Paulo (Guarulhos);12/02/2026 - 16:15;Segurança;7;
Ministro da Justiça e Segurança Pública;Brasília;12/02/2026 - 19:40;Salvador;12/02/2026 - 21:20;Segurança;8;
À Disposição do Ministro da Defesa (Compartilhado com o Ministro da Fazenda);Brasília;12/02/2026 - 20:45;São Paulo (Congonhas);12/02/2026 - 22:15;Segurança;1;VOO COMPARTILHADO
Ministro da Fazenda;São Paulo (Congonhas);16/02/2026 - 07:25;Brasília;16/02/2026 - 08:50;Serviço;3;
Presidente do Congresso Nacional;Brasília;13/02/2026 - 16:45;Macapá;13/02/2026 - 19:15;Segurança;12;
Ministro da Justiça e Segurança Pública;Salvador;18/02/2026 - 10:35;Brasília;18/02/2026 - 12:15;Segurança;2;
À Disposição do Ministro da Defesa ;São Paulo (Congonhas);18/02/2026 - 08:50;Brasília;18/02/2026 - 10:15;Segurança;10;
À Disposição do Ministro da Defesa;Brasília;19/02/2026 - 19:00;São Paulo (Congonhas);19/02/2026 - 20:40;Segurança;2;
Presidente do Congresso Nacional;Macapá;22/02/2026 - 14:15;Palmas;22/02/2026 - 16:05;Segurança;20;
Presidente do Congresso Nacional;Palmas;22/02/2026 - 16:30;Brasília;22/02/2026 - 17:30;Segurança;20;
Presidente da Câmara dos Deputados;São Paulo (Guarulhos);20/02/2026 - 22:00;Brasília;20/02/2026 - 23:20;Segurança;10;
Presidente da Câmara dos Deputados;Brasília;22/02/2026 - 06:40;Patos;22/02/2026 - 09:05;Segurança;4;
Presidente da Câmara dos Deputados;Patos;22/02/2026 - 21:25;João Pessoa;22/02/2026 - 22:00;Segurança;7;
Presidente da Câmara dos Deputados;João Pessoa;23/02/2026 - 18:20;Brasília;23/02/2026 - 20:50;Segurança;10;
À Disposição do Ministro da Defesa;São Paulo (Congonhas);23/02/2026 - 13:00;Brasília;23/02/2026 - 14:30;Segurança;2;
Ministro da Defesa;Brasília;23/02/2026 - 09:35;Recife;23/02/2026 - 11:55;Serviço;6;
Ministro da Defesa;Recife;23/02/2026 - 18:45;Brasília;23/02/2026 - 21:15;Serviço;6;
Ministro da Educação;São Paulo (Guarulhos);23/02/2026 - 11:40;Brasília;23/02/2026 - 13:05;Serviço;4;
Ministro Integração do Desenvolvimento Regional;Brasília;24/02/2026 - 14:40;Goianá;24/02/2026 - 15:55;Serviço;19;
Ministro Integração do Desenvolvimento Regional;Goianá;25/02/2026 - 14:05;Brasília;25/02/2026 - 15:25;Serviço;12;
À Disposição do Ministro da Defesa;Brasília;26/02/2026 - 18:55;São Paulo (Congonhas);26/02/2026 - 20:20;Segurança;3;
Ministro dos Transportes;Brasília;26/02/2026 - 09:40;Maceió;26/02/2026 - 11:50;Serviço;20;VOO COMPARTILHADO
Ministro da Previdência Social;Brasília;26/02/2026 - 09:40;Maceió;26/02/2026 - 11:50;Serviço;20;VOO COMPARTILHADO
Ministro do Turismo;Brasília;26/02/2026 - 09:40;Maceió;26/02/2026 - 11:50;Serviço;20;VOO COMPARTILHADO
Ministra das Mulheres;Brasília;26/02/2026 - 09:40;Maceió;26/02/2026 - 11:50;Serviço;20;VOO COMPARTILHADO
Secretária de Relações Institucionais da Presidência da República;Brasília;26/02/2026 - 09:40;Maceió;26/02/2026 - 11:50;Serviço;20;VOO COMPARTILHADO
Ministro de Portos e Aeroportos;Brasília;26/02/2026 - 08:15;São Paulo (Congonhas);26/02/2026 - 09:40;Serviço;10;
Ministro do Turismo;Maceió;26/02/2026 - 18:15;Brasília;26/02/2026 - 20:35;Serviço;10;VOO COMPARTILHADO
Ministro da Secretaria-Geral da Presidência da República;Brasília;26/02/2026 - 13:35;Goiânia;26/02/2026 - 14:05;Serviço;5;
Secretária de Relações Institucionais da Presidência da República;Maceió;26/02/2026 - 18:15;Brasília;26/02/2026 - 20:35;Serviço;10;VOO COMPARTILHADO
Presidente do Congresso Nacional;Brasília;27/02/2026 - 09:50;Macapá;27/02/2026 - 12:15;Segurança;8;
Presidente da Câmara dos Deputados;Brasília;26/02/2026 - 22:35;João Pessoa;27/02/2026 - 01:00;Segurança;10;
Presidente da Câmara dos Deputados;João Pessoa;27/02/2026 - 22:10;Patos;27/02/2026 - 22:50;Segurança;14;
Ministro da Fazenda;Brasília;27/02/2026 - 07:50;São Paulo (Congonhas);27/02/2026 - 09:15;Serviço;1;
Ministro da Educação;Brasília;25/02/2026 - 08:25;Rio Branco;25/02/2026 - 09:40;Serviço;10;
Ministro da Educação;Rio Branco;25/02/2026 - 15:15;Porto Velho;25/02/2026 - 17:10;Serviço;9;
Ministro da Educação;Porto Velho;25/02/2026 - 21:55;Manaus (Ponta Pelada);25/02/2026 - 23:10;Serviço;9;
Ministro da Educação;Manaus (Ponta Pelada);27/02/2026 - 08:10;Santarém;27/02/2026 - 10:10;Serviço;8;
Ministro da Educação;Santarém;27/02/2026 - 14:55;Marabá;27/02/2026 - 16:10;Serviço;9;
Ministro da Educação;Marabá;27/02/2026 - 20:20;Fortaleza;27/02/2026 - 22:10;Serviço;5;
Ministro da Secretaria-Geral da Presidência da República;Goiânia;26/02/2026 - 22:50;Vitória;27/02/2026 - 00:30;Serviço;13;
