AUTORIDADES APOIADAS;ORIGEM;"DECOLAGEM
(H. LOCAL)";DESTINO;"POUSO
(H. LOCAL)";MOTIVO;PASSAGEIROS;
Ministro da Fazenda;Brasília;01/07/2025 - 14:20;Buenos Aires (Argentina);01/07/2025 - 17:55;Serviço;4;VOO COMPARTILHADO
Ministra do Planejamento e Orçamento;Brasília;01/07/2025 - 14:20;Buenos Aires (Argentina);01/07/2025 - 17:55;Serviço;2;VOO COMPARTILHADO
Ministro da Fazenda;Buenos Aires (Argentina);02/07/2025 - 15:50;Rio de Janeiro (Galeão);02/07/2025 - 18:35;Segurança;5;
Ministra da Igualdade Racial;Salvador;02/07/2025 - 14:05;Rio de Janeiro (Santos Dumont);02/07/2025 - 16:00;Segurança;9;
Ministro da Defesa;Brasília;03/07/2025 - 12:10;Rio de Janeiro (Galeão);03/07/2025 - 13:25;Serviço;11;
Ministro da Defesa;Rio de Janeiro (Galeão);03/07/2025 - 16:45;Pirassununga;03/07/2025 - 17:45;Serviço;9;
Ministro do Trabalho e Emprego;Brasília;03/07/2025 - 07:40;Goiânia;03/07/2025 - 08:15;Serviço;7;
Ministro do Trabalho e Emprego;Goiânia;03/07/2025 - 20:50;Brasília;03/07/2025 - 21:15;Serviço;7;
Presidente da Câmara dos Deputados;Brasília;01/07/2025 - 00:55;Praia (Cabo Verde);01/07/2025 - 08:50;Segurança;7;
Presidente da Câmara dos Deputados;Praia (Cabo Verde);01/07/2025 - 09:45;Lisboa (Portugal);01/07/2025 - 15:45;Segurança;7;
Presidente da Câmara dos Deputados;Lisboa (Portugal);06/07/2025 - 10:15;Praia (Cabo Verde);06/07/2025 - 12:15;Segurança;7;
Presidente da Câmara dos Deputados;Praia (Cabo Verde);06/07/2025 - 13:15;Brasília;06/07/2025 - 17:05;Segurança;7;
Ministro de Portos e Aeroportos;Rio de Janeiro (Galeão);04/07/2025 - 14:55;Recife;04/07/2025 - 17:30;Segurança;1;
Presidente do Congresso Nacional;Brasília;03/07/2025 - 21:00;Macapá;03/07/2025 - 23:30;Segurança;9;
Presidente do Congresso Nacional;Macapá;07/07/2025 - 06:30;Brasília;07/07/2025 - 09:10;Segurança;7;
Ministro da Justiça e Segurança Pública;São Paulo (Congonhas);07/07/2025 - 14:45;Brasília;07/07/2025 - 16:05;Segurança;6;
Ministro da Fazenda;Rio de Janeiro (Galeão);06/07/2025 - 22:55;Brasília;07/07/2025 - 00:20;Serviço;5;
Ministro da Casa Civil da Presidência da República;Brasília;07/07/2025 - 16:40;São Paulo (Congonhas);07/07/2025 - 18:10;Serviço;12;
Ministro da Casa Civil da Presidência da República;São Paulo (Congonhas);08/07/2025 - 09:50;Brasília;08/07/2025 - 11:15;Serviço;6;
Ministro de Portos e Aeroportos;São Paulo (Congonhas);08/07/2025 - 16:25;Brasília;08/07/2025 - 17:55;Serviço;11;
Ministro dos Transportes;Brasília;10/07/2025 - 21:10;Campina Grande;10/07/2025 - 23:30;Serviço;12;
Ministro do Desenvolvimento Agrário;Brasília;10/07/2025 - 08:45;Linhares;10/07/2025 - 10:15;Serviço;7;VOO COMPARTILHADO
Ministro da Secretaria-Geral da Presidência da República;Brasília;10/07/2025 - 08:45;Linhares;10/07/2025 - 10:15;Serviço;5;VOO COMPARTILHADO
Ministro da Justiça e Segurança Pública;Brasília;11/07/2025 - 12:40;São Paulo (Congonhas);11/07/2025 - 14:10;Segurança;8;
Presidente do Congresso Nacional;Brasília;11/07/2025 - 17:15;São Paulo (Congonhas);11/07/2025 - 18:35;Segurança;4;
Presidente do Congresso Nacional;São Paulo (Congonhas);12/07/2025 - 09:30;Macapá;12/07/2025 - 13:20;Segurança;3;
Presidente do Congresso Nacional;Macapá;14/07/2025 - 06:45;Brasília;14/07/2025 - 09:30;Segurança;6;
Presidente da Câmara dos Deputados;Brasília;11/07/2025 - 10:45;João Pessoa;11/07/2025 - 13:10;Segurança;17;
Presidente da Câmara dos Deputados;João Pessoa;13/07/2025 - 21:50;Brasília;14/07/2025 - 00:20;Segurança;15;
Presidente do Supremo Tribunal Federal;São Paulo (Guarulhos);14/07/2025 - 22:05;Brasília;14/07/2025 - 23:25;Segurança;3;
Ministro da Justiça e Segurança Pública;São Paulo (Congonhas);14/07/2025 - 12:25;Brasília;14/07/2025 - 13:50;Segurança;5;
Ministro Integração do Desenvolvimento Regional;Brasília;15/07/2025 - 21:00;Juazeiro Do Norte;15/07/2025 - 22:50;Serviço;9;
À Disposição do Ministro da Defesa;Brasília;16/06/2025 - 20:00;São Paulo (Congonhas);16/06/2025 - 21:25;Segurança;2;
Ministro dos Transportes;Maceió;15/07/2025 - 15:55;Foz do Iguaçu;15/07/2025 - 19:50;Serviço;7;
Ministro dos Transportes;Foz do Iguaçu;16/07/2025 - 16:40;Brasília;16/07/2025 - 18:40;Serviço;12;
Ministro da Educação;Recife;16/07/2025 - 14:20;Brasília;16/07/2025 - 17:00;Serviço;8;
Presidente da Câmara dos Deputados;Brasília;17/07/2025 - 12:45;São Paulo (Guarulhos);17/07/2025 - 14:05;Segurança;7;
Ministro das Relações Exteriores;Rio de Janeiro (Galeão);17/07/2025 - 06:35;Brasília;17/07/2025 - 08:15;Serviço;2;
Ministro da Fazenda;Brasília;17/07/2025 - 15:05;São Paulo (Congonhas);17/07/2025 - 16:35;Serviço;8;
Presidente do Congresso Nacional;Brasília;18/07/2025 - 20:25;São Paulo (Guarulhos);18/07/2025 - 21:55;Segurança;6;
Ministro da Justiça e Segurança Pública;Brasília;18/07/2025 - 12:50;São Paulo (Congonhas);18/07/2025 - 14:40;Segurança;3;
Ministro dos Transportes;Brasília;18/07/2025 - 07:15;Juazeiro Do Norte;18/07/2025 - 09:10;Serviço;6;
Ministro da Saúde;Curitiba;19/07/2025 - 15:25;Brasília;19/07/2025 - 16:55;Serviço;8;
Ministro da Justiça e Segurança Pública;São Paulo (Congonhas);21/07/2025 - 12:15;Brasília;21/07/2025 - 13:35;Segurança;7;
Presidente do Supremo Tribunal Federal;Brasília;17/07/2025 - 15:50;São Luís;17/07/2025 - 17:55;Segurança;10;
Presidente do Supremo Tribunal Federal;São Luís;20/07/2025 - 15:35;Fortaleza;20/07/2025 - 16:35;Segurança;11;
Presidente do Supremo Tribunal Federal;Fortaleza;22/07/2025 - 10:30;Recife;22/07/2025 - 11:35;Segurança;12;
Presidente do Supremo Tribunal Federal;Recife;22/07/2025 - 18:35;Brasília;22/07/2025 - 21:20;Segurança;11;
