AUTORIDADES APOIADAS;ORIGEM;"DECOLAGEM
(H. LOCAL)";DESTINO;"POUSO
(H. LOCAL)";MOTIVO;PASSAGEIROS;
Ministro dos Transportes;Brasília;01/10/2025 - 18:25;Rio de Janeiro (Santos Dumont);01/10/2025 - 19:55;Serviço;9;
Ministro da Educação;Campo Grande;01/10/2025 - 12:40;Brasília;01/10/2025 - 15:00;Serviço;8;
Ministro das Cidades;Brasília;01/10/2025 - 09:10;Cacoal;01/10/2025 - 10:25;Serviço;8;
Ministro das Cidades;Cacoal;01/10/2025 - 13:45;Vilhena;01/10/2025 - 14:10;Serviço;10;
Ministro das Cidades;Vilhena;01/10/2025 - 14:40;Brasília;01/10/2025 - 17:40;Serviço;10;
Ministro da Secretaria-Geral da Presidência da República;Caruaru;01/10/2025 - 17:00;Brasília;01/10/2025 - 19:20;Serviço;16;
Presidente do Congresso Nacional;Brasília;01/10/2025 - 13:30;Macapá;01/10/2025 - 16:00;Segurança;8;
À Disposição do Ministro da Defesa (Compartilhado com o Ministro da Fazenda);Brasília;02/10/2025 - 19:20;São Paulo (Congonhas);02/10/2025 - 20:50;Segurança;7;VOO COMPARTILHADO
Ministro da Fazenda (Compartilhado com À Disposição do Ministro da Defesa );Brasília;02/10/2025 - 19:20;São Paulo (Congonhas);02/10/2025 - 20:50;Serviço;5;VOO COMPARTILHADO
Ministro dos Transportes;Rio de Janeiro (Santos Dumont);02/10/2025 - 18:15;Brasília;02/10/2025 - 19:50;Serviço;8;VOO COMPARTILHADO
Ministro da Advocacia Geral da União;Rio de Janeiro (Santos Dumont);02/10/2025 - 18:15;Brasília;02/10/2025 - 19:50;Serviço;4;VOO COMPARTILHADO
Ministro de Portos e Aeroportos;Brasília;02/10/2025 - 09:05;Rio de Janeiro (Santos Dumont);02/10/2025 - 10:35;Serviço;6;
Ministro da Casa Civil da Presidência da República;Belém;03/10/2025 - 15:55;Salvador;03/10/2025 - 18:15;Serviço;1;
Ministro da Defesa;Brasília;02/10/2025 - 11:55;Belém;02/10/2025 - 14:10;Serviço;37;
Ministro da Defesa;Belém;02/10/2025 - 18:00;Boa Vista;02/10/2025 - 19:00;Serviço;42;
Ministro da Defesa;Boa Vista;03/10/2025 - 11:55;Brasília;03/10/2025 - 16:30;Serviço;46;
